Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
1936,-9.44,-0.28,0.94,26.13,0.03,0.03,0.01
1951,-9.42,-0.28,0.94,26.14,0.03,0.02,0.01
1968,-9.44,-0.29,0.90,26.15,0.03,0.03,0.01
1983,-9.44,-0.27,0.92,26.16,0.03,0.03,0.01
1999,-9.44,-0.28,0.92,26.15,0.03,0.03,0.01
2015,-9.43,-0.27,0.90,26.12,0.03,0.03,0.01
2031,-9.43,-0.27,0.92,26.13,0.03,0.03,0.01
2046,-9.43,-0.26,0.91,26.14,0.03,0.03,0.01
2063,-9.43,-0.26,0.90,26.14,0.03,0.02,0.01
2079,-9.44,-0.27,0.94,26.14,0.03,0.02,0.01
2095,-9.44,-0.28,0.93,26.13,0.03,0.02,0.01
2111,-9.45,-0.28,0.93,26.13,0.03,0.02,0.01
2126,-9.45,-0.26,0.90,26.15,0.03,0.02,0.01
2143,-9.44,-0.29,0.93,26.14,0.03,0.02,0.01
2158,-9.45,-0.28,0.92,26.14,0.03,0.02,0.01
2174,-9.43,-0.27,0.90,26.14,0.03,0.03,0.01
2190,-9.43,-0.26,0.94,26.14,0.03,0.03,0.01
2206,-9.42,-0.28,0.92,26.14,0.03,0.03,0.01
2222,-9.43,-0.28,0.95,26.16,0.03,0.03,0.01
2238,-9.41,-0.29,0.92,26.14,0.03,0.03,0.01
2253,-9.44,-0.28,0.93,26.16,0.03,0.03,0.01
2270,-9.43,-0.27,0.93,26.14,0.03,0.02,0.01
2286,-9.45,-0.28,0.92,26.15,0.03,0.02,0.01
2301,-9.44,-0.28,0.91,26.15,0.03,0.02,0.01
2318,-9.44,-0.28,0.95,26.13,0.03,0.03,0.01
2333,-9.43,-0.27,0.94,26.14,0.03,0.03,0.01
2350,-9.45,-0.29,0.95,26.15,0.03,0.03,0.01
2365,-9.45,-0.28,0.93,26.14,0.03,0.03,0.01
2381,-9.44,-0.26,0.92,26.15,0.02,0.03,0.01
2397,-9.42,-0.28,0.93,26.15,0.03,0.03,0.01
2413,-9.43,-0.27,0.93,26.14,0.03,0.03,0.01
2428,-9.43,-0.28,0.93,26.16,0.03,0.02,0.01
2445,-9.43,-0.27,0.90,26.15,0.03,0.02,0.01
2460,-9.43,-0.28,0.93,26.14,0.03,0.02,0.01
2477,-9.43,-0.28,0.95,26.14,0.03,0.02,0.01
2492,-9.44,-0.26,0.91,26.14,0.03,0.02,0.01
2508,-9.44,-0.29,0.94,26.16,0.03,0.03,0.01
2525,-9.43,-0.25,0.93,26.17,0.03,0.03,0.01
2540,-9.44,-0.29,0.91,26.13,0.03,0.03,0.01
2556,-9.45,-0.27,0.91,26.15,0.03,0.03,0.01
2572,-9.43,-0.28,0.92,26.17,0.03,0.03,0.01
2588,-9.43,-0.27,0.90,26.18,0.03,0.03,0.01
2604,-9.44,-0.28,0.94,26.15,0.03,0.03,0.01
2620,-9.43,-0.28,0.89,26.15,0.03,0.02,0.01
2635,-9.43,-0.27,0.92,26.14,0.03,0.02,0.01
2652,-9.42,-0.27,0.90,26.16,0.03,0.03,0.01
2667,-9.43,-0.25,0.91,26.16,0.03,0.03,0.01
2683,-9.45,-0.26,0.93,26.15,0.03,0.03,0.01
2699,-9.45,-0.27,0.92,26.16,0.03,0.03,0.01
2715,-9.45,-0.25,0.92,26.14,0.03,0.03,0.01
2732,-9.44,-0.28,0.94,26.14,0.03,0.03,0.01
2747,-9.43,-0.26,0.93,26.16,0.03,0.03,0.01
2763,-9.43,-0.27,0.93,26.14,0.03,0.03,0.01
2779,-9.44,-0.28,0.91,26.13,0.03,0.02,0.01
2795,-9.44,-0.27,0.94,26.14,0.03,0.02,0.01
2810,-9.43,-0.27,0.92,26.14,0.03,0.02,0.01
2827,-9.43,-0.27,0.93,26.14,0.03,0.02,0.01
2842,-9.43,-0.28,0.93,26.15,0.03,0.02,0.01
2859,-9.46,-0.27,0.94,26.14,0.03,0.02,0.01
2874,-9.45,-0.29,0.95,26.15,0.03,0.03,0.01
2890,-9.44,-0.26,0.93,26.16,0.03,0.03,0.01
2906,-9.42,-0.28,0.93,26.15,0.03,0.03,0.01
2922,-9.42,-0.26,0.92,26.15,0.03,0.03,0.01
2937,-9.43,-0.28,0.93,26.15,0.03,0.03,0.01
2954,-9.42,-0.27,0.90,26.16,0.03,0.03,0.01
2970,-9.42,-0.28,0.89,26.15,0.03,0.03,0.01
2985,-9.41,-0.28,0.90,26.14,0.03,0.02,0.01
3002,-9.43,-0.29,0.91,26.15,0.02,0.02,0.01
3017,-9.45,-0.28,0.90,26.15,0.03,0.03,0.01
3034,-9.45,-0.27,0.93,26.14,0.03,0.03,0.01
3049,-9.43,-0.28,0.92,26.16,0.03,0.03,0.01
3065,-9.45,-0.27,0.90,26.17,0.03,0.03,0.01
3081,-9.44,-0.28,0.92,26.16,0.03,0.03,0.01
3097,-9.42,-0.27,0.91,26.14,0.03,0.03,0.01
3112,-9.44,-0.27,0.92,26.13,0.03,0.03,0.01
3129,-9.43,-0.26,0.90,26.14,0.03,0.03,0.01
3144,-9.43,-0.28,0.93,26.16,0.03,0.03,0.01
3161,-9.43,-0.26,0.92,26.16,0.03,0.02,0.01
3177,-9.44,-0.26,0.94,26.15,0.03,0.02,0.01
3192,-9.43,-0.27,0.93,26.14,0.03,0.02,0.01
3209,-9.44,-0.28,0.91,26.16,0.03,0.02,0.01
3224,-9.43,-0.28,0.94,26.16,0.03,0.02,0.01
3240,-9.43,-0.29,0.90,26.16,0.03,0.02,0.01
3256,-9.45,-0.28,0.92,26.16,0.03,0.02,0.01
3272,-9.43,-0.27,0.93,26.14,0.03,0.02,0.01
3288,-9.45,-0.25,0.91,26.17,0.03,0.02,0.01
3304,-9.43,-0.26,0.91,26.16,0.03,0.02,0.01
3319,-9.43,-0.26,0.90,26.17,0.03,0.03,0.01
3336,-9.44,-0.27,0.92,26.17,0.03,0.02,0.01
3351,-9.44,-0.27,0.91,26.17,0.03,0.02,0.01
3367,-9.44,-0.29,0.92,26.15,0.03,0.02,0.01
3383,-9.43,-0.27,0.90,26.14,0.03,0.02,0.01
3399,-9.41,-0.26,0.93,26.16,0.03,0.02,0.01
3416,-9.44,-0.28,0.93,26.17,0.03,0.03,0.01
3431,-9.44,-0.27,0.95,26.16,0.03,0.03,0.01
3447,-9.43,-0.27,0.91,26.17,0.03,0.03,0.01
3463,-9.44,-0.28,0.90,26.14,0.03,0.03,0.01
3479,-9.44,-0.27,0.92,26.14,0.03,0.03,0.01
3494,-9.43,-0.28,0.93,26.16,0.03,0.03,0.01
3511,-9.43,-0.30,0.92,26.17,0.03,0.03,0.01
3526,-9.42,-0.26,0.94,26.15,0.03,0.02,0.01
3543,-9.45,-0.30,0.91,26.16,0.03,0.02,0.01
3558,-9.45,-0.27,0.93,26.17,0.03,0.02,0.01
3574,-9.42,-0.27,0.92,26.16,0.03,0.02,0.01
3590,-9.43,-0.27,0.92,26.15,0.03,0.02,0.01
3606,-9.45,-0.27,0.93,26.14,0.03,0.02,0.01
3622,-9.43,-0.27,0.92,26.14,0.03,0.02,0.01
3638,-9.45,-0.28,0.94,26.15,0.03,0.03,0.01
3654,-9.45,-0.27,0.93,26.16,0.03,0.03,0.01
3670,-9.47,-0.26,0.93,26.14,0.03,0.03,0.01
3686,-9.44,-0.26,0.94,26.14,0.03,0.03,0.01
3701,-9.44,-0.26,0.92,26.13,0.03,0.03,0.01
3718,-9.43,-0.28,0.92,26.13,0.03,0.03,0.01
3733,-9.45,-0.27,0.93,26.15,0.03,0.02,0.01
3749,-9.45,-0.26,0.92,26.17,0.03,0.03,0.01
3765,-9.45,-0.26,0.94,26.15,0.03,0.02,0.01
3781,-9.45,-0.26,0.93,26.17,0.03,0.03,0.01
3796,-9.43,-0.28,0.95,26.15,0.03,0.03,0.01
3813,-9.44,-0.26,0.93,26.17,0.03,0.03,0.01
3828,-9.42,-0.28,0.92,26.15,0.03,0.03,0.01
3845,-9.42,-0.27,0.94,26.17,0.03,0.03,0.01
3861,-9.43,-0.28,0.93,26.15,0.03,0.03,0.01
3876,-9.45,-0.27,0.89,26.15,0.03,0.03,0.01
3893,-9.45,-0.27,0.92,26.14,0.03,0.03,0.01
3908,-9.43,-0.28,0.95,26.14,0.03,0.02,0.01
3924,-9.43,-0.29,0.93,26.18,0.03,0.02,0.01
3940,-9.44,-0.27,0.93,26.16,0.03,0.02,0.01
3956,-9.43,-0.27,0.95,26.16,0.03,0.03,0.01
3972,-9.42,-0.27,0.90,26.16,0.02,0.02,0.01
3988,-9.42,-0.27,0.93,26.17,0.03,0.02,0.01
4003,-9.43,-0.27,0.96,26.14,0.03,0.03,0.01
4020,-9.42,-0.27,0.94,26.15,0.03,0.03,0.01
4035,-9.42,-0.29,0.93,26.16,0.03,0.03,0.01
4051,-9.43,-0.28,0.95,26.13,0.03,0.03,0.01
4068,-9.45,-0.26,0.96,26.14,0.03,0.02,0.01
4083,-9.42,-0.26,0.95,26.14,0.03,0.02,0.01
4100,-9.43,-0.28,0.94,26.13,0.03,0.02,0.01
4115,-9.45,-0.27,0.94,26.13,0.03,0.03,0.01
4131,-9.45,-0.26,0.93,26.12,0.03,0.02,0.01
4147,-9.43,-0.26,0.86,26.17,0.03,0.03,0.01
4163,-9.43,-0.28,0.90,26.14,0.03,0.03,0.01
4178,-9.44,-0.27,0.92,26.16,0.03,0.03,0.01
4195,-9.46,-0.28,0.89,26.15,0.03,0.03,0.01
4210,-9.44,-0.27,0.94,26.14,0.03,0.03,0.01
4227,-9.44,-0.28,0.92,26.16,0.03,0.03,0.01
4242,-9.44,-0.28,0.91,26.15,0.03,0.02,0.01
4258,-9.44,-0.29,0.91,26.17,0.03,0.02,0.01
4274,-9.43,-0.28,0.91,26.13,0.03,0.02,0.01
4290,-9.43,-0.28,0.92,26.15,0.03,0.02,0.01
4306,-9.42,-0.28,0.94,26.15,0.03,0.02,0.01
4322,-9.44,-0.25,0.92,26.16,0.03,0.02,0.01
4338,-9.42,-0.28,0.92,26.15,0.03,0.02,0.01
4354,-9.44,-0.28,0.93,26.16,0.03,0.03,0.01
4370,-9.43,-0.28,0.92,26.14,0.03,0.03,0.01
4385,-9.44,-0.26,0.92,26.14,0.03,0.03,0.01
4402,-9.43,-0.25,0.91,26.15,0.03,0.03,0.01
4417,-9.44,-0.28,0.91,26.14,0.03,0.02,0.01
4433,-9.43,-0.27,0.91,26.17,0.03,0.02,0.01
4449,-9.44,-0.27,0.93,26.16,0.03,0.02,0.01
4465,-9.44,-0.28,0.92,26.16,0.03,0.02,0.01
4481,-9.44,-0.26,0.96,26.16,0.03,0.03,0.01
4497,-9.46,-0.28,0.93,26.17,0.03,0.03,0.01
4513,-9.44,-0.28,0.91,26.16,0.03,0.03,0.01
4529,-9.42,-0.27,0.94,26.14,0.03,0.03,0.01
4545,-9.42,-0.28,0.94,26.14,0.03,0.03,0.01
4560,-9.44,-0.26,0.96,26.14,0.03,0.03,0.01
4577,-9.45,-0.28,0.92,26.15,0.03,0.03,0.01
4592,-9.43,-0.27,0.95,26.18,0.03,0.02,0.01
4609,-9.44,-0.27,0.96,26.17,0.03,0.02,0.01
4624,-9.44,-0.28,0.91,26.16,0.03,0.02,0.01
4640,-9.45,-0.26,0.93,26.15,0.03,0.02,0.01
4656,-9.43,-0.27,0.95,26.15,0.03,0.02,0.01
4672,-9.42,-0.28,0.93,26.17,0.03,0.02,0.01
4687,-9.44,-0.29,0.94,26.17,0.03,0.03,0.01
4704,-9.44,-0.29,0.93,26.15,0.03,0.03,0.01
4720,-9.44,-0.26,0.92,26.15,0.03,0.02,0.01
4736,-9.45,-0.27,0.92,26.17,0.03,0.03,0.01
4752,-9.45,-0.26,0.93,26.16,0.03,0.03,0.01
4767,-9.43,-0.27,0.90,26.16,0.03,0.03,0.01
4784,-9.44,-0.26,0.95,26.16,0.03,0.03,0.01
4799,-9.43,-0.27,0.94,26.17,0.03,0.02,0.01
4815,-9.42,-0.26,0.95,26.17,0.03,0.02,0.01
4831,-9.42,-0.27,0.94,26.17,0.03,0.03,0.01
4847,-9.42,-0.27,0.90,26.15,0.03,0.03,0.01
4862,-9.44,-0.29,0.94,26.15,0.03,0.03,0.01
4879,-9.43,-0.27,0.93,26.17,0.03,0.03,0.01
4894,-9.43,-0.28,0.91,26.17,0.03,0.03,0.01
4911,-9.43,-0.28,0.93,26.17,0.03,0.03,0.01
4926,-9.42,-0.28,0.93,26.18,0.03,0.03,0.01
4942,-9.42,-0.27,0.92,26.17,0.03,0.03,0.01
4959,-9.42,-0.27,0.92,26.17,0.03,0.03,0.01
4974,-9.43,-0.29,0.91,26.17,0.02,0.02,0.01
4990,-9.42,-0.26,0.91,26.18,0.03,0.02,0.01
5006,-9.45,-0.27,0.92,26.19,0.03,0.02,0.01
5022,-9.43,-0.26,0.91,26.17,0.03,0.02,0.01
5038,-9.43,-0.27,0.93,26.16,0.03,0.02,0.01
5054,-9.43,-0.27,0.92,26.16,0.03,0.03,0.01
5069,-9.43,-0.25,0.92,26.16,0.03,0.03,0.01
5086,-9.44,-0.27,0.91,26.15,0.03,0.03,0.01
5101,-9.43,-0.28,0.93,26.17,0.03,0.03,0.01
5117,-9.43,-0.28,0.94,26.16,0.03,0.03,0.01
5133,-9.43,-0.29,0.95,26.15,0.03,0.03,0.01
5149,-9.43,-0.27,0.94,26.17,0.03,0.03,0.01
5166,-9.43,-0.27,0.95,26.16,0.03,0.02,0.01
5181,-9.43,-0.28,0.96,26.15,0.03,0.02,0.01
5197,-9.44,-0.27,0.95,26.16,0.03,0.03,0.01
5213,-9.44,-0.27,0.94,26.16,0.03,0.03,0.01
5229,-9.42,-0.25,0.91,26.19,0.03,0.03,0.01
5244,-9.44,-0.28,0.92,26.16,0.03,0.03,0.01
5261,-9.46,-0.27,0.92,26.15,0.03,0.03,0.01
5276,-9.44,-0.26,0.94,26.17,0.03,0.03,0.01
5293,-9.44,-0.25,0.93,26.19,0.03,0.03,0.01
5308,-9.44,-0.25,0.95,26.16,0.03,0.03,0.01
5324,-9.44,-0.26,0.93,26.16,0.03,0.02,0.01
5340,-9.43,-0.27,0.91,26.16,0.03,0.02,0.01
5356,-9.42,-0.27,0.92,26.16,0.03,0.02,0.01
5372,-9.43,-0.29,0.93,26.16,0.03,0.02,0.01
5388,-9.44,-0.25,0.94,26.16,0.03,0.02,0.01
5404,-9.43,-0.27,0.94,26.17,0.03,0.02,0.01
5420,-9.43,-0.27,0.94,26.16,0.03,0.02,0.01
5436,-9.42,-0.28,0.94,26.17,0.03,0.03,0.01
5451,-9.45,-0.27,0.94,26.15,0.03,0.03,0.01
5468,-9.46,-0.27,0.94,26.17,0.03,0.03,0.01
5483,-9.45,-0.28,0.95,26.17,0.03,0.03,0.01
5499,-9.44,-0.27,0.96,26.17,0.03,0.03,0.01
5515,-9.44,-0.27,0.95,26.15,0.03,0.02,0.01
5531,-9.42,-0.25,0.93,26.17,0.03,0.02,0.01
5547,-9.44,-0.26,0.95,26.17,0.03,0.03,0.01
5563,-9.45,-0.28,0.94,26.17,0.03,0.03,0.01
5579,-9.43,-0.29,0.95,26.17,0.03,0.03,0.01
5595,-9.43,-0.27,0.95,26.16,0.03,0.03,0.01
5611,-9.43,-0.27,0.91,26.16,0.03,0.03,0.01
5626,-9.44,-0.28,0.93,26.16,0.03,0.03,0.01
5643,-9.44,-0.29,0.93,26.16,0.03,0.03,0.01
5658,-9.43,-0.28,0.90,26.17,0.03,0.03,0.01
5675,-9.44,-0.26,0.93,26.18,0.03,0.03,0.01
5690,-9.44,-0.28,0.91,26.16,0.03,0.02,0.01
5706,-9.45,-0.27,0.95,26.17,0.03,0.02,0.01
5722,-9.42,-0.28,0.92,26.18,0.03,0.02,0.01
5738,-9.44,-0.28,0.94,26.18,0.03,0.02,0.01
5753,-9.45,-0.26,0.95,26.17,0.03,0.02,0.01
5770,-9.44,-0.28,0.95,26.19,0.03,0.03,0.01
5785,-9.43,-0.28,0.90,26.18,0.03,0.02,0.01
5801,-9.44,-0.28,0.92,26.18,0.03,0.03,0.01
5818,-9.44,-0.28,0.92,26.19,0.03,0.03,0.01
5833,-9.43,-0.27,0.92,26.17,0.03,0.03,0.01
5850,-9.40,-0.28,0.90,26.17,0.03,0.03,0.01
5865,-9.43,-0.28,0.93,26.18,0.03,0.03,0.01
5881,-9.43,-0.28,0.91,26.18,0.03,0.03,0.01
5897,-9.44,-0.27,0.94,26.18,0.03,0.03,0.01
