Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
2000,0.46,-9.98,0.39,26.34,0.03,0.02,0.01
2016,0.48,-9.99,0.39,26.34,0.03,0.03,0.01
2032,0.47,-10.00,0.38,26.33,0.03,0.02,0.01
2048,0.46,-10.01,0.39,26.33,0.03,0.02,0.01
2064,0.47,-10.00,0.36,26.33,0.02,0.03,0.01
2079,0.47,-9.99,0.41,26.34,0.02,0.02,0.01
2096,0.47,-10.00,0.37,26.33,0.03,0.03,0.01
2112,0.45,-9.98,0.37,26.34,0.03,0.03,0.01
2127,0.46,-9.99,0.37,26.34,0.03,0.03,0.01
2144,0.46,-10.00,0.38,26.33,0.03,0.03,0.01
2159,0.45,-10.01,0.38,26.32,0.03,0.03,0.01
2176,0.45,-10.00,0.34,26.32,0.03,0.02,0.01
2191,0.46,-9.99,0.37,26.33,0.03,0.02,0.01
2207,0.46,-9.98,0.39,26.33,0.03,0.03,0.01
2223,0.47,-10.00,0.37,26.34,0.03,0.03,0.01
2239,0.46,-9.99,0.38,26.33,0.02,0.03,0.01
2254,0.45,-10.00,0.40,26.32,0.02,0.03,0.01
2271,0.46,-9.99,0.38,26.33,0.02,0.03,0.01
2287,0.46,-9.99,0.38,26.33,0.03,0.03,0.01
2302,0.45,-9.99,0.39,26.32,0.03,0.03,0.01
2319,0.44,-10.00,0.40,26.32,0.03,0.03,0.01
2334,0.45,-10.01,0.38,26.32,0.03,0.03,0.01
2351,0.47,-9.99,0.37,26.33,0.03,0.03,0.01
2366,0.46,-10.00,0.40,26.33,0.03,0.03,0.01
2382,0.46,-9.97,0.38,26.33,0.03,0.03,0.01
2398,0.49,-9.99,0.36,26.34,0.03,0.02,0.01
2414,0.50,-10.01,0.38,26.32,0.02,0.03,0.01
2429,0.46,-10.00,0.37,26.33,0.02,0.03,0.01
2446,0.46,-10.00,0.36,26.33,0.03,0.03,0.01
2462,0.46,-9.99,0.39,26.33,0.02,0.03,0.01
2478,0.45,-9.98,0.39,26.33,0.03,0.03,0.01
2494,0.48,-9.99,0.39,26.33,0.03,0.03,0.01
2509,0.48,-9.99,0.40,26.33,0.03,0.02,0.01
2526,0.46,-9.99,0.38,26.33,0.03,0.03,0.01
2541,0.48,-9.99,0.39,26.33,0.03,0.03,0.01
2557,0.45,-9.98,0.40,26.34,0.03,0.03,0.01
2573,0.46,-9.99,0.41,26.32,0.03,0.03,0.01
2589,0.47,-10.01,0.37,26.32,0.03,0.03,0.01
2605,0.45,-9.99,0.39,26.34,0.02,0.03,0.01
2621,0.47,-10.00,0.38,26.32,0.02,0.03,0.01
2636,0.48,-9.98,0.37,26.32,0.02,0.03,0.01
2653,0.46,-10.01,0.41,26.35,0.02,0.03,0.01
2669,0.47,-10.00,0.37,26.35,0.03,0.03,0.01
2684,0.45,-9.99,0.40,26.33,0.03,0.03,0.01
2701,0.46,-10.01,0.39,26.33,0.03,0.03,0.01
2716,0.47,-9.99,0.38,26.34,0.03,0.03,0.01
2733,0.46,-9.99,0.40,26.34,0.03,0.03,0.01
2748,0.46,-9.99,0.40,26.34,0.03,0.02,0.01
2764,0.47,-10.00,0.37,26.33,0.03,0.03,0.01
2780,0.46,-9.99,0.40,26.34,0.03,0.03,0.01
2796,0.47,-9.97,0.37,26.34,0.02,0.03,0.01
2811,0.47,-10.00,0.41,26.34,0.02,0.03,0.01
2828,0.46,-9.99,0.38,26.34,0.03,0.03,0.01
2844,0.47,-10.01,0.40,26.33,0.03,0.03,0.01
2860,0.48,-10.00,0.37,26.34,0.03,0.03,0.01
2876,0.46,-9.98,0.39,26.34,0.03,0.03,0.01
2891,0.46,-10.00,0.37,26.36,0.03,0.02,0.01
2908,0.45,-9.99,0.40,26.33,0.03,0.02,0.01
2923,0.45,-9.99,0.41,26.33,0.03,0.02,0.01
2939,0.46,-9.99,0.40,26.33,0.03,0.02,0.01
2955,0.45,-10.00,0.38,26.34,0.02,0.03,0.01
2971,0.47,-9.99,0.40,26.34,0.02,0.03,0.01
2987,0.46,-9.99,0.41,26.33,0.02,0.03,0.01
3003,0.45,-9.99,0.37,26.36,0.02,0.03,0.01
3018,0.45,-9.99,0.38,26.32,0.03,0.03,0.01
3035,0.46,-10.00,0.40,26.35,0.03,0.02,0.01
3051,0.46,-9.99,0.36,26.36,0.03,0.03,0.01
3066,0.48,-10.01,0.39,26.33,0.03,0.03,0.01
3083,0.46,-9.99,0.36,26.33,0.03,0.03,0.01
3098,0.44,-9.99,0.39,26.33,0.03,0.03,0.01
3115,0.46,-9.98,0.40,26.34,0.03,0.03,0.01
3130,0.46,-10.00,0.41,26.34,0.03,0.03,0.01
3146,0.48,-10.02,0.38,26.35,0.03,0.03,0.01
3162,0.47,-10.00,0.38,26.35,0.02,0.03,0.01
3178,0.47,-10.00,0.39,26.32,0.03,0.03,0.01
3194,0.47,-9.99,0.39,26.35,0.03,0.03,0.01
3210,0.48,-10.00,0.37,26.33,0.03,0.03,0.01
3226,0.45,-10.00,0.42,26.34,0.03,0.02,0.01
3241,0.46,-10.00,0.35,26.36,0.03,0.03,0.01
3258,0.47,-10.00,0.39,26.34,0.03,0.02,0.01
3273,0.45,-9.98,0.36,26.34,0.03,0.02,0.01
3290,0.45,-10.00,0.38,26.34,0.03,0.02,0.01
3305,0.47,-9.99,0.41,26.34,0.02,0.03,0.01
3321,0.47,-10.00,0.39,26.35,0.02,0.03,0.01
3338,0.47,-9.98,0.38,26.34,0.02,0.03,0.01
3353,0.47,-9.98,0.37,26.36,0.02,0.03,0.01
3369,0.47,-10.00,0.39,26.35,0.03,0.03,0.01
3385,0.47,-9.99,0.39,26.35,0.03,0.03,0.01
3401,0.47,-9.99,0.38,26.35,0.03,0.03,0.01
3417,0.45,-10.00,0.39,26.35,0.03,0.03,0.01
3433,0.46,-10.01,0.41,26.35,0.03,0.02,0.01
3448,0.46,-10.00,0.39,26.35,0.03,0.03,0.01
3465,0.46,-10.00,0.41,26.35,0.03,0.03,0.01
3481,0.47,-9.99,0.39,26.34,0.03,0.03,0.01
3496,0.47,-9.97,0.39,26.34,0.03,0.03,0.01
3513,0.46,-10.00,0.40,26.36,0.03,0.03,0.01
3528,0.45,-9.99,0.39,26.33,0.03,0.03,0.01
3545,0.46,-9.98,0.35,26.34,0.02,0.03,0.01
3560,0.47,-10.01,0.36,26.33,0.03,0.03,0.01
3576,0.47,-9.99,0.38,26.35,0.03,0.03,0.01
3592,0.44,-9.98,0.41,26.35,0.03,0.02,0.01
3608,0.46,-10.01,0.37,26.35,0.03,0.02,0.01
3623,0.46,-9.98,0.42,26.33,0.03,0.01,0.01
3640,0.46,-9.99,0.42,26.35,0.03,0.02,0.01
3655,0.45,-9.99,0.39,26.33,0.03,0.02,0.01
3672,0.46,-10.01,0.40,26.35,0.02,0.03,0.01
3688,0.47,-9.99,0.38,26.32,0.02,0.03,0.01
3703,0.47,-9.99,0.38,26.33,0.02,0.03,0.01
3720,0.47,-10.00,0.39,26.33,0.03,0.03,0.01
3735,0.48,-9.99,0.39,26.34,0.03,0.03,0.01
3751,0.47,-9.99,0.37,26.36,0.03,0.03,0.01
3767,0.47,-9.98,0.40,26.35,0.03,0.03,0.01
3783,0.46,-9.99,0.40,26.33,0.03,0.02,0.01
3799,0.46,-10.00,0.39,26.34,0.03,0.03,0.01
3815,0.45,-10.00,0.37,26.34,0.03,0.03,0.01
3830,0.46,-9.99,0.38,26.34,0.03,0.02,0.01
3847,0.46,-9.99,0.40,26.32,0.03,0.03,0.01
3862,0.46,-9.99,0.38,26.34,0.03,0.03,0.01
3878,0.45,-9.99,0.41,26.33,0.03,0.03,0.01
3895,0.48,-10.01,0.40,26.34,0.02,0.03,0.01
3910,0.47,-10.01,0.37,26.32,0.03,0.03,0.01
3927,0.47,-9.99,0.39,26.33,0.03,0.03,0.01
3942,0.46,-10.01,0.39,26.34,0.03,0.02,0.01
3958,0.46,-10.00,0.36,26.34,0.03,0.02,0.01
3974,0.47,-9.99,0.38,26.34,0.03,0.01,0.01
3990,0.44,-9.99,0.38,26.33,0.03,0.01,0.01
4005,0.45,-10.00,0.37,26.33,0.03,0.02,0.01
4022,0.45,-9.99,0.40,26.33,0.03,0.02,0.01
4038,0.48,-9.99,0.42,26.33,0.02,0.03,0.01
4054,0.46,-10.01,0.44,26.35,0.02,0.03,0.01
4070,0.44,-10.01,0.43,26.33,0.02,0.04,0.01
4085,0.46,-10.01,0.39,26.35,0.02,0.04,0.01
