Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
2003,0.83,-0.19,10.40,27.57,0.03,0.03,0.01
2020,0.83,-0.18,10.41,27.57,0.03,0.02,0.01
2035,0.82,-0.18,10.42,27.56,0.03,0.03,0.01
2052,0.83,-0.18,10.41,27.56,0.03,0.03,0.01
2068,0.86,-0.19,10.43,27.57,0.03,0.03,0.01
2083,0.82,-0.16,10.41,27.57,0.03,0.03,0.01
2100,0.81,-0.16,10.40,27.56,0.03,0.02,0.01
2115,0.84,-0.19,10.39,27.57,0.03,0.02,0.01
2131,0.83,-0.18,10.41,27.58,0.03,0.02,0.01
2147,0.85,-0.18,10.43,27.58,0.03,0.03,0.01
2163,0.83,-0.17,10.42,27.59,0.03,0.02,0.01
2180,0.84,-0.19,10.41,27.57,0.03,0.03,0.01
2195,0.84,-0.19,10.43,27.57,0.03,0.03,0.01
2211,0.82,-0.20,10.43,27.56,0.03,0.03,0.01
2227,0.82,-0.19,10.42,27.56,0.03,0.02,0.01
2243,0.84,-0.17,10.44,27.59,0.03,0.03,0.01
2258,0.83,-0.17,10.42,27.58,0.03,0.03,0.01
2275,0.82,-0.19,10.42,27.57,0.03,0.03,0.01
2291,0.84,-0.17,10.40,27.57,0.03,0.03,0.01
2307,0.82,-0.18,10.44,27.57,0.03,0.02,0.01
2323,0.82,-0.18,10.42,27.56,0.03,0.03,0.01
2338,0.82,-0.18,10.41,27.57,0.03,0.02,0.01
2355,0.83,-0.18,10.37,27.57,0.03,0.03,0.01
2371,0.83,-0.21,10.37,27.57,0.03,0.03,0.01
2386,0.82,-0.19,10.40,27.57,0.03,0.03,0.01
2403,0.82,-0.18,10.40,27.58,0.03,0.03,0.01
2418,0.84,-0.19,10.41,27.59,0.03,0.03,0.01
2435,0.83,-0.18,10.40,27.57,0.03,0.03,0.01
2450,0.83,-0.20,10.41,27.58,0.03,0.03,0.01
2466,0.83,-0.18,10.40,27.57,0.03,0.02,0.01
2483,0.85,-0.18,10.39,27.58,0.03,0.03,0.01
2498,0.84,-0.18,10.40,27.58,0.03,0.02,0.01
2514,0.80,-0.16,10.43,27.60,0.03,0.02,0.01
2530,0.82,-0.17,10.38,27.59,0.03,0.02,0.01
2546,0.83,-0.17,10.38,27.59,0.03,0.02,0.01
2562,0.83,-0.18,10.40,27.59,0.03,0.03,0.01
2578,0.82,-0.18,10.42,27.60,0.03,0.02,0.01
2594,0.83,-0.19,10.40,27.58,0.03,0.02,0.01
2610,0.83,-0.18,10.38,27.58,0.03,0.02,0.01
2626,0.80,-0.19,10.39,27.58,0.03,0.03,0.01
2641,0.83,-0.18,10.42,27.58,0.03,0.02,0.01
2658,0.84,-0.19,10.43,27.59,0.03,0.03,0.01
2673,0.84,-0.17,10.42,27.59,0.03,0.03,0.01
2690,0.83,-0.18,10.39,27.58,0.03,0.03,0.01
2706,0.84,-0.17,10.41,27.58,0.03,0.03,0.01
2721,0.81,-0.18,10.40,27.59,0.03,0.02,0.01
2738,0.83,-0.18,10.43,27.59,0.03,0.03,0.01
2753,0.83,-0.19,10.41,27.58,0.03,0.03,0.01
2769,0.82,-0.18,10.40,27.58,0.03,0.03,0.01
2786,0.81,-0.19,10.42,27.59,0.03,0.03,0.01
2801,0.82,-0.18,10.41,27.58,0.03,0.03,0.01
2818,0.84,-0.17,10.39,27.60,0.03,0.03,0.01
2833,0.83,-0.19,10.40,27.61,0.03,0.02,0.01
2849,0.81,-0.17,10.40,27.60,0.03,0.02,0.01
2865,0.83,-0.18,10.40,27.59,0.03,0.03,0.01
2881,0.84,-0.18,10.43,27.60,0.03,0.03,0.01
2897,0.83,-0.19,10.40,27.61,0.03,0.03,0.01
2913,0.83,-0.19,10.43,27.58,0.03,0.03,0.01
2929,0.82,-0.19,10.41,27.59,0.03,0.03,0.01
2945,0.82,-0.19,10.38,27.59,0.03,0.02,0.01
2961,0.84,-0.17,10.40,27.57,0.03,0.02,0.01
2976,0.82,-0.18,10.40,27.58,0.03,0.02,0.01
2993,0.82,-0.18,10.41,27.59,0.03,0.03,0.01
3009,0.82,-0.20,10.42,27.59,0.03,0.03,0.01
3024,0.82,-0.17,10.40,27.59,0.03,0.03,0.01
3041,0.82,-0.18,10.40,27.61,0.03,0.03,0.01
3056,0.83,-0.19,10.40,27.59,0.03,0.02,0.01
3073,0.83,-0.18,10.41,27.58,0.03,0.02,0.01
3088,0.85,-0.19,10.43,27.60,0.03,0.02,0.01
3104,0.82,-0.17,10.44,27.60,0.03,0.03,0.01
3121,0.82,-0.19,10.43,27.58,0.03,0.02,0.01
3136,0.82,-0.18,10.41,27.59,0.03,0.02,0.01
3152,0.84,-0.18,10.39,27.59,0.03,0.03,0.01
3168,0.83,-0.17,10.41,27.60,0.03,0.03,0.01
3184,0.85,-0.18,10.41,27.59,0.03,0.02,0.01
3201,0.82,-0.19,10.42,27.58,0.03,0.03,0.01
3216,0.83,-0.18,10.41,27.60,0.03,0.03,0.01
3232,0.83,-0.20,10.40,27.59,0.03,0.03,0.01
3248,0.81,-0.20,10.38,27.60,0.03,0.03,0.01
3264,0.83,-0.19,10.41,27.59,0.03,0.03,0.01
3279,0.84,-0.18,10.40,27.60,0.03,0.02,0.01
3296,0.83,-0.17,10.40,27.59,0.03,0.03,0.01
3312,0.82,-0.17,10.43,27.59,0.03,0.03,0.01
3328,0.82,-0.19,10.40,27.59,0.03,0.02,0.01
3344,0.81,-0.19,10.40,27.60,0.03,0.02,0.01
3359,0.83,-0.19,10.43,27.59,0.03,0.03,0.01
3376,0.82,-0.18,10.42,27.60,0.03,0.02,0.01
3391,0.83,-0.19,10.41,27.61,0.03,0.02,0.01
3407,0.82,-0.19,10.42,27.59,0.03,0.02,0.01
3424,0.85,-0.19,10.41,27.60,0.03,0.02,0.01
3439,0.82,-0.18,10.42,27.60,0.03,0.03,0.01
3456,0.83,-0.19,10.42,27.61,0.03,0.03,0.01
3471,0.82,-0.18,10.42,27.60,0.03,0.03,0.01
3487,0.82,-0.18,10.40,27.58,0.03,0.03,0.01
3503,0.83,-0.16,10.42,27.60,0.03,0.03,0.01
3519,0.84,-0.18,10.41,27.61,0.03,0.03,0.01
3535,0.85,-0.17,10.40,27.62,0.03,0.03,0.01
3551,0.83,-0.19,10.43,27.58,0.03,0.03,0.01
3567,0.81,-0.20,10.43,27.59,0.03,0.03,0.01
3582,0.83,-0.18,10.42,27.61,0.03,0.02,0.01
3599,0.85,-0.18,10.42,27.59,0.03,0.02,0.01
3614,0.84,-0.19,10.40,27.59,0.03,0.02,0.01
3631,0.84,-0.19,10.37,27.60,0.03,0.02,0.01
3647,0.82,-0.18,10.41,27.61,0.03,0.02,0.01
3662,0.80,-0.19,10.39,27.60,0.03,0.02,0.01
3679,0.83,-0.20,10.42,27.60,0.03,0.02,0.01
3694,0.82,-0.19,10.43,27.59,0.03,0.03,0.01
3710,0.83,-0.20,10.42,27.60,0.03,0.02,0.01
3726,0.83,-0.17,10.41,27.59,0.03,0.02,0.01
3742,0.82,-0.17,10.40,27.60,0.03,0.02,0.01
3759,0.86,-0.19,10.40,27.58,0.03,0.02,0.01
3774,0.83,-0.17,10.43,27.58,0.03,0.02,0.01
3790,0.82,-0.20,10.41,27.59,0.03,0.02,0.01
3806,0.82,-0.20,10.41,27.60,0.03,0.02,0.01
3822,0.84,-0.20,10.44,27.59,0.03,0.03,0.01
3837,0.83,-0.18,10.42,27.61,0.03,0.03,0.01
3854,0.83,-0.18,10.40,27.61,0.03,0.03,0.01
3870,0.84,-0.19,10.43,27.61,0.03,0.03,0.01
3886,0.84,-0.19,10.42,27.59,0.03,0.03,0.01
3902,0.82,-0.18,10.39,27.59,0.03,0.03,0.01
3917,0.84,-0.18,10.42,27.60,0.03,0.03,0.01
3934,0.83,-0.19,10.43,27.59,0.03,0.03,0.01
3950,0.83,-0.18,10.44,27.62,0.03,0.03,0.01
3965,0.85,-0.17,10.41,27.63,0.03,0.03,0.01
3982,0.84,-0.20,10.42,27.59,0.03,0.03,0.01
3997,0.84,-0.19,10.41,27.61,0.03,0.03,0.01
4014,0.84,-0.19,10.42,27.60,0.03,0.03,0.01
4029,0.83,-0.19,10.41,27.59,0.03,0.03,0.01
4045,0.85,-0.19,10.42,27.59,0.03,0.03,0.01
4062,0.84,-0.18,10.38,27.59,0.03,0.03,0.01
4077,0.83,-0.18,10.41,27.59,0.03,0.02,0.01
4093,0.83,-0.18,10.39,27.59,0.03,0.02,0.01
4109,0.81,-0.21,10.40,27.60,0.03,0.03,0.01
4125,0.82,-0.18,10.40,27.61,0.03,0.02,0.01
4141,0.85,-0.18,10.42,27.62,0.03,0.02,0.01
4157,0.85,-0.17,10.43,27.60,0.03,0.02,0.01
4173,0.83,-0.20,10.39,27.62,0.03,0.02,0.01
4189,0.85,-0.18,10.42,27.60,0.03,0.02,0.01
4205,0.84,-0.19,10.46,27.60,0.03,0.02,0.01
4220,0.83,-0.19,10.40,27.60,0.03,0.03,0.01
