Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
46420,12524.00,-60.00,-10364.00,25.33,150.00,182.00,107.00
46315,12444.00,16.00,-10312.00,25.38,172.00,205.00,102.00
46420,12524.00,-60.00,-10364.00,25.33,150.00,182.00,107.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,12548.00,-76.00,-10176.00,25.33,185.00,195.00,99.00
187,12580.00,-64.00,-10176.00,25.33,177.00,186.00,107.00
292,12456.00,-20.00,-10340.00,25.38,185.00,191.00,108.00
397,12572.00,52.00,-10356.00,25.33,179.00,195.00,106.00
502,12580.00,-100.00,-10340.00,25.28,186.00,179.00,110.00
608,12624.00,-192.00,-10264.00,25.28,189.00,189.00,99.00
712,12640.00,-72.00,-10220.00,25.33,203.00,185.00,103.00
818,12592.00,-12.00,-10376.00,25.28,170.00,198.00,103.00
922,12588.00,-48.00,-10164.00,25.42,163.00,185.00,119.00
1028,12496.00,-68.00,-10436.00,25.42,171.00,153.00,109.00
1133,12588.00,-88.00,-10304.00,25.42,180.00,187.00,103.00
1238,12532.00,-12.00,-10232.00,25.38,168.00,148.00,87.00
1343,12508.00,0.00,-10424.00,25.33,188.00,206.00,128.00
1447,12576.00,-112.00,-10384.00,25.38,205.00,169.00,117.00
1553,12512.00,-48.00,-10404.00,25.28,189.00,216.00,102.00
1658,12672.00,-96.00,-10324.00,25.38,180.00,208.00,74.00
1763,12636.00,-112.00,-10144.00,25.47,174.00,178.00,111.00
1868,12508.00,36.00,-10200.00,25.24,182.00,178.00,110.00
1973,12612.00,-36.00,-10436.00,25.42,180.00,195.00,91.00
2078,12576.00,-60.00,-10356.00,25.38,197.00,157.00,112.00
2184,12468.00,-116.00,-10440.00,25.38,192.00,205.00,100.00
2288,12600.00,-120.00,-10324.00,25.33,184.00,208.00,109.00
2394,12584.00,-192.00,-10244.00,25.33,184.00,156.00,119.00
2499,12500.00,-80.00,-10416.00,25.38,159.00,172.00,122.00
2604,12596.00,-32.00,-10316.00,25.28,156.00,194.00,88.00
2709,12532.00,-40.00,-10372.00,25.33,190.00,183.00,109.00
2813,12584.00,-88.00,-10124.00,25.28,163.00,167.00,133.00
2919,12476.00,-12.00,-10348.00,25.33,174.00,173.00,84.00
3024,12568.00,-40.00,-10212.00,25.38,192.00,170.00,96.00
3129,12676.00,-44.00,-10276.00,25.28,197.00,191.00,85.00
3234,12576.00,-92.00,-10484.00,25.38,206.00,154.00,93.00
3339,12536.00,-44.00,-10208.00,25.24,167.00,191.00,106.00
3444,12520.00,-48.00,-10260.00,25.38,194.00,159.00,112.00
3549,12592.00,-176.00,-10352.00,25.33,166.00,193.00,105.00
3654,12600.00,-120.00,-10232.00,25.33,171.00,180.00,118.00
3760,12548.00,-180.00,-10272.00,25.38,189.00,185.00,99.00
3864,12552.00,-32.00,-10392.00,25.42,209.00,211.00,94.00
3970,12616.00,-120.00,-10248.00,25.28,218.00,191.00,124.00
4075,12584.00,-88.00,-10212.00,25.28,173.00,171.00,97.00
4179,12592.00,-100.00,-10364.00,25.33,167.00,185.00,106.00
4285,12652.00,-60.00,-10252.00,25.33,136.00,205.00,87.00
4389,12580.00,-68.00,-10300.00,25.33,183.00,184.00,85.00
4495,12624.00,-32.00,-10340.00,25.38,191.00,184.00,84.00
4600,12556.00,-108.00,-10132.00,25.33,170.00,180.00,104.00
4705,12592.00,-124.00,-10344.00,25.33,166.00,195.00,102.00
4810,12640.00,-52.00,-10276.00,25.38,200.00,190.00,85.00
4915,12636.00,-120.00,-10192.00,25.38,197.00,191.00,80.00
5020,12612.00,-148.00,-10416.00,25.24,173.00,172.00,102.00
5126,12572.00,-76.00,-10164.00,25.19,162.00,207.00,85.00
5230,12628.00,-76.00,-10320.00,25.24,162.00,182.00,107.00
5336,12580.00,-16.00,-10200.00,25.42,181.00,169.00,100.00
5441,12676.00,-64.00,-10320.00,25.42,188.00,206.00,108.00
5545,12664.00,-60.00,-10324.00,25.28,182.00,177.00,118.00
5651,12492.00,-116.00,-10140.00,25.33,218.00,196.00,96.00
5755,12608.00,-120.00,-10232.00,25.33,178.00,193.00,106.00
5861,12616.00,-64.00,-10312.00,25.28,198.00,188.00,86.00
5966,12536.00,-40.00,-10316.00,25.33,195.00,187.00,93.00
6071,12684.00,-60.00,-10312.00,25.38,204.00,178.00,93.00
6176,12608.00,-140.00,-10416.00,25.28,194.00,191.00,73.00
6281,12580.00,-168.00,-10212.00,25.38,171.00,189.00,110.00
6386,12600.00,-40.00,-10204.00,25.28,168.00,181.00,92.00
6492,12676.00,-96.00,-10252.00,25.33,162.00,194.00,79.00
6596,12568.00,-84.00,-10092.00,25.28,179.00,207.00,94.00
6702,12656.00,-24.00,-10200.00,25.33,176.00,195.00,77.00
6806,12640.00,0.00,-10084.00,25.28,203.00,166.00,104.00
6912,12548.00,-40.00,-10252.00,25.28,186.00,183.00,67.00
7016,12544.00,-60.00,-10252.00,25.28,193.00,208.00,109.00
7121,12540.00,-60.00,-10548.00,25.33,191.00,182.00,96.00
7227,12560.00,-136.00,-10268.00,25.38,199.00,174.00,123.00
7331,12580.00,-96.00,-10240.00,25.38,180.00,170.00,103.00
7437,12592.00,44.00,-10424.00,25.33,185.00,184.00,108.00
7542,12568.00,-148.00,-10312.00,25.19,188.00,181.00,96.00
7647,12672.00,-156.00,-10376.00,25.42,191.00,170.00,89.00
7752,12592.00,-52.00,-10240.00,25.33,176.00,191.00,94.00
7857,12528.00,-60.00,-10332.00,25.42,176.00,197.00,79.00
7962,12644.00,-96.00,-10280.00,25.38,183.00,162.00,98.00
8067,12588.00,-68.00,-10388.00,25.33,178.00,151.00,92.00
8172,12544.00,56.00,-10516.00,25.28,211.00,197.00,125.00
8278,12564.00,-52.00,-10308.00,25.24,218.00,182.00,111.00
8382,12620.00,-80.00,-10184.00,25.33,194.00,186.00,106.00
8487,12644.00,-244.00,-10348.00,25.28,158.00,194.00,114.00
8593,12480.00,-96.00,-10412.00,25.38,186.00,193.00,88.00
8697,12468.00,-128.00,-10320.00,25.42,156.00,200.00,89.00
