Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
23187,16196.00,-12.00,-3652.00,25.14,184.00,163.00,1110
23081,16416.00,56.00,-3848.00,25.09,214.00,194.00,107.00
23187,16196.00,-12.00,-3652.00,25.14,184.00,163.00,111MPU-6050 connected!
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,16296.00,4.00,-3776.00,25.19,175.00,189.00,70.00
184,16296.00,40.00,-3640.00,25.14,199.00,177.00,111.00
289,16328.00,104.00,-3816.00,25.14,177.00,165.00,98.00
394,16312.00,20.00,-3652.00,25.24,180.00,177.00,93.00
499,16416.00,24.00,-3896.00,25.14,179.00,191.00,105.00
604,16284.00,120.00,-3680.00,25.14,182.00,187.00,103.00
709,16356.00,120.00,-3692.00,25.19,211.00,188.00,94.00
814,16352.00,-20.00,-3828.00,25.09,198.00,170.00,118.00
919,16260.00,92.00,-3732.00,25.19,192.00,184.00,83.00
1024,16300.00,-44.00,-3780.00,25.19,157.00,183.00,114.00
1129,16344.00,52.00,-3800.00,25.09,201.00,197.00,95.00
1233,16268.00,-40.00,-3740.00,25.19,165.00,165.00,104.00
1339,16220.00,40.00,-3864.00,25.05,197.00,187.00,116.00
1444,16464.00,-16.00,-3764.00,25.05,204.00,199.00,87.00
1549,16308.00,-80.00,-3768.00,25.19,195.00,198.00,91.00
1654,16268.00,12.00,-3768.00,25.19,178.00,182.00,108.00
1759,16312.00,-28.00,-3800.00,25.14,173.00,197.00,110.00
1864,16340.00,32.00,-3920.00,25.19,182.00,181.00,88.00
1969,16368.00,-24.00,-3624.00,25.14,156.00,198.00,105.00
2074,16356.00,4.00,-3664.00,25.14,176.00,182.00,104.00
2179,16316.00,72.00,-3800.00,25.24,161.00,191.00,116.00
2284,16388.00,24.00,-3524.00,25.28,188.00,201.00,100.00
2388,16236.00,36.00,-3908.00,25.19,182.00,198.00,102.00
2494,16328.00,4.00,-3728.00,25.14,173.00,149.00,111.00
2599,16332.00,-20.00,-3672.00,25.14,159.00,173.00,112.00
2704,16328.00,-12.00,-3800.00,25.24,154.00,188.00,106.00
2809,16368.00,44.00,-3676.00,25.19,173.00,198.00,102.00
2914,16272.00,12.00,-3692.00,25.19,168.00,190.00,81.00
3019,16332.00,76.00,-3924.00,25.19,159.00,158.00,111.00
3124,16320.00,4.00,-3772.00,25.14,170.00,183.00,116.00
3229,16368.00,76.00,-3796.00,25.14,195.00,166.00,98.00
3334,16324.00,-80.00,-3716.00,25.24,189.00,189.00,85.00
3439,16348.00,84.00,-3816.00,25.09,177.00,170.00,92.00
3544,16344.00,52.00,-3656.00,25.09,155.00,181.00,109.00
3649,16372.00,-32.00,-3680.00,25.19,167.00,182.00,92.00
3753,16244.00,36.00,-3772.00,25.19,195.00,195.00,102.00
3859,16284.00,4.00,-3656.00,25.14,175.00,179.00,117.00
3964,16328.00,68.00,-3788.00,25.19,193.00,189.00,86.00
4069,16396.00,-40.00,-3856.00,25.19,170.00,197.00,123.00
4174,16332.00,12.00,-3580.00,25.19,177.00,174.00,104.00
4279,16280.00,96.00,-3848.00,25.24,164.00,186.00,128.00
4384,16272.00,140.00,-3768.00,25.24,161.00,176.00,113.00
4489,16252.00,-48.00,-3652.00,25.19,171.00,187.00,100.00
4594,16208.00,-8.00,-3892.00,25.05,179.00,199.00,73.00
4699,16460.00,-60.00,-3816.00,25.24,199.00,161.00,99.00
4804,16328.00,52.00,-3812.00,25.24,168.00,160.00,91.00
4909,16268.00,0.00,-4000.00,25.24,182.00,177.00,111.00
5014,16160.00,112.00,-3624.00,25.14,172.00,207.00,101.00
5120,16252.00,-56.00,-3760.00,25.19,161.00,182.00,99.00
5224,16292.00,-32.00,-3796.00,25.28,163.00,206.00,110.00
5329,16292.00,-40.00,-3864.00,25.14,183.00,153.00,98.00
5434,16348.00,32.00,-3648.00,25.14,190.00,178.00,110.00
5539,16316.00,68.00,-3676.00,25.14,166.00,187.00,113.00
5644,16344.00,32.00,-3828.00,25.09,187.00,148.00,103.00
5749,16340.00,-44.00,-3792.00,25.19,199.00,192.00,101.00
5854,16416.00,-12.00,-3728.00,25.19,187.00,221.00,97.00
5959,16336.00,-8.00,-3576.00,25.19,171.00,189.00,110.00
6064,16360.00,8.00,-3728.00,25.19,182.00,197.00,114.00
6169,16268.00,-64.00,-3704.00,25.09,192.00,174.00,87.00
6275,16340.00,-4.00,-3788.00,25.19,167.00,156.00,94.00
6379,16224.00,48.00,-3552.00,25.19,190.00,193.00,107.00
6484,16288.00,56.00,-3740.00,25.19,200.00,174.00,104.00
6589,16348.00,-12.00,-3760.00,25.19,181.00,198.00,109.00
6694,16300.00,68.00,-3736.00,25.09,169.00,194.00,84.00
6799,16296.00,12.00,-3640.00,25.19,167.00,172.00,88.00
6904,16352.00,16.00,-3804.00,25.19,186.00,211.00,84.00
7009,16284.00,40.00,-3620.00,25.09,212.00,195.00,109.00
7114,16412.00,48.00,-3876.00,25.19,193.00,171.00,97.00
7219,16248.00,76.00,-3744.00,25.19,199.00,193.00,101.00
7324,16312.00,-24.00,-3756.00,25.14,185.00,186.00,98.00
7429,16272.00,-12.00,-3836.00,25.19,168.00,161.00,103.00
7534,16348.00,36.00,-3608.00,25.14,155.00,184.00,110.00
7640,16352.00,-28.00,-3792.00,25.14,184.00,184.00,97.00
7744,16272.00,100.00,-3820.00,25.14,137.00,174.00,92.00
7849,16396.00,-20.00,-3628.00,25.24,170.00,174.00,131.00
7954,16272.00,-40.00,-3776.00,25.19,179.00,188.00,92.00
8059,16264.00,48.00,-3748.00,25.09,186.00,183.00,120.00
8164,16388.00,0.00,-3692.00,25.19,187.00,173.00,91.00
8269,16384.00,-12.00,-3684.00,25.24,172.00,168.00,89.00
8374,16212.00,-64.00,-3620.00,25.14,192.00,202.00,90.00
8479,16288.00,-48.00,-3864.00,25.24,155.00,184.00,94.00
8584,16324.00,12.00,-3676.00,25.14,198.00,196.00,101.00
8689,16352.00,72.00,-3804.00,25.24,172.00,187.00,125.00
8794,16260.00,-88.00,-3852.00,25.19,180.00,181.00,119.00
8899,16372.00,-4.00,-3800.00,25.19,221.00,178.00,99.00
9004,16304.00,-4.00,-3676.00,25.19,163.00,200.00,105.00
9109,16260.00,8.00,-3716.00,25.14,197.00,154.00,76.00
9213,16312.00,24.00,-3788.00,25.24,162.00,169.00,117.00
9319,16376.00,4.00,-3680.00,25.24,188.00,201.00,101.00
9424,16020.00,-276.00,-3384.00,25.14,147.00,160.00,38.00
9529,16156.00,356.00,-3896.00,25.24,49.00,181.00,45.00
9634,16392.00,100.00,-3816.00,25.24,168.00,192.00,93.00
9739,16320.00,56.00,-3848.00,25.24,216.00,213.00,94.00
9844,16172.00,-40.00,-3720.00,25.24,193.00,214.00,86.00
9949,16340.00,-32.00,-3688.00,25.14,171.00,194.00,109.00
10054,16308.00,136.00,-3772.00,25.19,175.00,159.00,100.00
10159,16348.00,100.00,-3832.00,25.24,157.00,205.00,97.00
10264,16428.00,8.00,-3820.00,25.19,138.00,199.00,96.00
10370,16256.00,16.00,-3796.00,25.19,173.00,187.00,128.00
10474,16312.00,48.00,-3760.00,25.19,178.00,167.00,100.00
10579,16316.00,4.00,-3732.00,25.19,171.00,165.00,80.00
10684,16308.00,-36.00,-3752.00,25.19,188.00,159.00,108.00
10789,16304.00,-24.00,-3876.00,25.14,173.00,179.00,109.00
10895,16344.00,76.00,-3944.00,25.28,150.00,182.00,110.00
10999,16260.00,44.00,-3836.00,25.24,184.00,182.00,111.00
11105,16292.00,136.00,-3676.00,25.24,206.00,188.00,71.00
11209,16304.00,32.00,-3780.00,25.09,178.00,210.00,89.00
11315,16236.00,-12.00,-3720.00,25.14,175.00,189.00,98.00
11420,16384.00,-40.00,-3792.00,25.14,176.00,176.00,91.00
11525,16216.00,136.00,-3804.00,25.14,180.00,183.00,97.00
11630,16468.00,-36.00,-3840.00,25.19,138.00,187.00,92.00
11735,16256.00,56.00,-3788.00,25.09,153.00,192.00,110.00
11840,16340.00,104.00,-3740.00,25.24,182.00,200.00,102.00
11945,16400.00,32.00,-3700.00,25.19,175.00,190.00,117.00
12050,16320.00,4.00,-3744.00,25.19,195.00,189.00,104.00
12155,16332.00,-88.00,-3728.00,25.19,195.00,169.00,103.00
12260,16244.00,80.00,-3624.00,25.14,190.00,193.00,87.00
12365,16228.00,-40.00,-3704.00,25.24,177.00,164.00,104.00
12470,16400.00,60.00,-3752.00,25.19,180.00,176.00,93.00
