Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,13916.00,-44.00,-8396.00,25.38,176.00,165.00,104.00
187,14120.00,-64.00,-8636.00,25.28,204.00,187.00,104.00
292,13928.00,-36.00,-8632.00,25.28,186.00,196.00,84.00
397,13900.00,0.00,-8472.00,25.38,160.00,180.00,112.00
502,14096.00,28.00,-8540.00,25.42,174.00,198.00,94.00
607,13948.00,-72.00,-8504.00,25.33,175.00,187.00,117.00
712,13956.00,36.00,-8572.00,25.28,187.00,185.00,101.00
817,13948.00,-48.00,-8596.00,25.38,185.00,187.00,100.00
922,13928.00,-44.00,-8544.00,25.38,179.00,202.00,124.00
1027,14052.00,56.00,-8532.00,25.33,188.00,186.00,90.00
1132,13992.00,-104.00,-8520.00,25.42,197.00,190.00,85.00
1236,13876.00,60.00,-8660.00,25.38,163.00,167.00,100.00
1342,14060.00,-40.00,-8592.00,25.47,166.00,173.00,110.00
1447,13944.00,60.00,-8592.00,25.42,159.00,168.00,126.00
1552,14024.00,-52.00,-8440.00,25.38,178.00,194.00,104.00
1657,13984.00,20.00,-8588.00,25.33,171.00,204.00,115.00
1762,13968.00,-4.00,-8812.00,25.42,213.00,195.00,94.00
1867,14092.00,-92.00,-8596.00,25.33,187.00,174.00,100.00
1972,13812.00,-48.00,-8596.00,25.38,177.00,204.00,119.00
2077,13952.00,-76.00,-8648.00,25.42,195.00,180.00,98.00
2182,13968.00,-24.00,-8280.00,25.42,170.00,167.00,110.00
2287,13972.00,-64.00,-8664.00,25.38,181.00,176.00,106.00
2393,14044.00,-8.00,-8544.00,25.33,192.00,195.00,122.00
2497,13864.00,28.00,-8564.00,25.33,202.00,188.00,99.00
2603,13956.00,-24.00,-8600.00,25.42,173.00,195.00,112.00
2707,13996.00,-68.00,-8604.00,25.38,200.00,184.00,80.00
2812,14004.00,0.00,-8540.00,25.38,182.00,180.00,87.00
2917,13940.00,-8.00,-8688.00,25.38,167.00,185.00,78.00
3022,13972.00,-132.00,-8580.00,25.38,199.00,177.00,106.00
3127,13996.00,8.00,-8596.00,25.38,172.00,197.00,92.00
3232,13944.00,36.00,-8528.00,25.38,182.00,161.00,132.00
3337,13984.00,-80.00,-8608.00,25.33,195.00,141.00,112.00
3442,13932.00,-64.00,-8612.00,25.38,182.00,170.00,97.00
3547,13920.00,8.00,-8732.00,25.28,226.00,190.00,114.00
3652,13924.00,52.00,-8700.00,25.42,151.00,167.00,112.00
3757,13924.00,-52.00,-8460.00,25.28,163.00,194.00,106.00
3862,14116.00,-20.00,-8564.00,25.28,169.00,182.00,102.00
3968,14028.00,-8.00,-8620.00,25.42,171.00,181.00,98.00
4072,14024.00,-20.00,-8568.00,25.33,161.00,180.00,92.00
4177,13956.00,52.00,-8648.00,25.38,189.00,163.00,94.00
4282,13880.00,-116.00,-8516.00,25.33,189.00,182.00,114.00
4387,13904.00,-52.00,-8600.00,25.47,165.00,180.00,101.00
4492,14116.00,-80.00,-8740.00,25.42,200.00,187.00,98.00
4597,13984.00,-164.00,-8600.00,25.28,193.00,165.00,85.00
4702,14020.00,-40.00,-8456.00,25.42,162.00,177.00,118.00
4807,13940.00,-48.00,-8604.00,25.33,167.00,174.00,102.00
4912,13928.00,-104.00,-8556.00,25.38,187.00,179.00,110.00
5017,14004.00,60.00,-8604.00,25.38,202.00,195.00,126.00
5123,13932.00,28.00,-8668.00,25.33,188.00,181.00,83.00
5227,14012.00,-36.00,-8532.00,25.47,179.00,150.00,98.00
5332,13940.00,-16.00,-8524.00,25.38,191.00,173.00,98.00
5437,14036.00,-72.00,-8568.00,25.33,187.00,164.00,118.00
5542,14000.00,-40.00,-8412.00,25.42,173.00,172.00,99.00
5647,13904.00,8.00,-8548.00,25.38,173.00,197.00,101.00
5752,14028.00,-8.00,-8628.00,25.42,173.00,183.00,119.00
5857,13892.00,-64.00,-8580.00,25.38,170.00,187.00,95.00
5962,14052.00,52.00,-8532.00,25.24,181.00,187.00,102.00
6067,13952.00,-124.00,-8572.00,25.28,185.00,175.00,83.00
6172,14008.00,-40.00,-8684.00,25.38,194.00,186.00,85.00
6278,13944.00,-72.00,-8656.00,25.42,170.00,188.00,88.00
6382,14012.00,-68.00,-8516.00,25.38,185.00,166.00,83.00
6488,14008.00,-4.00,-8660.00,25.38,162.00,198.00,107.00
6592,14060.00,20.00,-8628.00,25.33,194.00,175.00,106.00
6697,13964.00,-24.00,-8544.00,25.28,175.00,176.00,116.00
6802,13976.00,-76.00,-8772.00,25.38,184.00,175.00,113.00
6907,13920.00,-16.00,-8484.00,25.33,193.00,198.00,94.00
7012,13980.00,0.00,-8384.00,25.38,191.00,187.00,92.00
7117,14004.00,80.00,-8652.00,25.47,178.00,171.00,96.00
7222,13920.00,64.00,-8636.00,25.38,189.00,165.00,75.00
7327,13940.00,-96.00,-8628.00,25.42,196.00,195.00,98.00
7432,13964.00,36.00,-8532.00,25.42,154.00,166.00,118.00
7537,14048.00,-124.00,-8448.00,25.38,188.00,192.00,84.00
7642,13948.00,-124.00,-8572.00,25.47,169.00,173.00,118.00
7747,13996.00,32.00,-8536.00,25.38,166.00,177.00,128.00
7853,13968.00,-20.00,-8648.00,25.42,140.00,189.00,88.00
7957,13916.00,-28.00,-8600.00,25.38,196.00,184.00,91.00
8062,13996.00,72.00,-8752.00,25.42,184.00,159.00,74.00
8167,14012.00,-40.00,-8568.00,25.47,191.00,179.00,108.00
8272,13932.00,-48.00,-8332.00,25.42,183.00,210.00,78.00
8377,13948.00,-32.00,-8608.00,25.42,191.00,161.00,114.00
8482,13936.00,-12.00,-8664.00,25.38,190.00,191.00,99.00
8587,13956.00,-96.00,-8492.00,25.42,183.00,175.00,104.00
8692,13904.00,-180.00,-8572.00,25.38,145.00,196.00,103.00
8798,14044.00,36.00,-8576.00,25.33,175.00,190.00,94.00
8902,13928.00,0.00,-8376.00,25.42,199.00,181.00,97.00
9007,14012.00,20.00,-8432.00,25.33,197.00,159.00,76.00
9112,13976.00,-36.00,-8584.00,25.28,182.00,173.00,100.00
9218,13992.00,-68.00,-8652.00,25.24,173.00,172.00,96.00
9322,13860.00,4.00,-8604.00,25.33,211.00,167.00,101.00
9427,13884.00,-48.00,-8676.00,25.38,189.00,171.00,134.00
9532,13924.00,40.00,-8608.00,25.38,185.00,182.00,103.00
