Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,8844.00,-236.00,-13340.00,25.38,151.00,179.00,116.00
188,8772.00,-220.00,-13272.00,25.33,181.00,170.00,95.00
293,8884.00,-232.00,-13296.00,25.33,164.00,161.00,106.00
398,8824.00,-320.00,-13524.00,25.28,170.00,168.00,107.00
503,8828.00,-164.00,-13332.00,25.33,187.00,177.00,89.00
609,8916.00,-292.00,-13268.00,25.38,174.00,188.00,109.00
713,8852.00,-204.00,-13260.00,25.28,186.00,194.00,100.00
819,8856.00,-300.00,-13268.00,25.33,198.00,215.00,82.00
923,8944.00,-248.00,-13488.00,25.28,136.00,174.00,104.00
1029,8812.00,-188.00,-13292.00,25.42,176.00,193.00,107.00
1133,8912.00,-216.00,-13376.00,25.38,157.00,206.00,97.00
1239,8912.00,-212.00,-13328.00,25.28,188.00,174.00,91.00
1344,8852.00,-164.00,-13228.00,25.42,186.00,199.00,119.00
1448,8832.00,-236.00,-13232.00,25.28,157.00,174.00,121.00
1554,8900.00,-172.00,-13616.00,25.33,189.00,187.00,99.00
1658,8828.00,-188.00,-13344.00,25.28,177.00,196.00,107.00
1764,8820.00,-292.00,-13300.00,25.33,188.00,197.00,97.00
1869,8848.00,-256.00,-13396.00,25.28,184.00,179.00,104.00
1974,8792.00,-240.00,-13264.00,25.33,204.00,197.00,82.00
2079,8880.00,-200.00,-13272.00,25.24,158.00,168.00,103.00
2184,8796.00,-148.00,-13364.00,25.47,177.00,202.00,104.00
2289,8892.00,-216.00,-13252.00,25.33,203.00,168.00,75.00
2395,8840.00,-188.00,-13232.00,25.28,189.00,201.00,94.00
2499,8820.00,-228.00,-13268.00,25.28,172.00,206.00,89.00
2605,8812.00,-252.00,-13176.00,25.33,163.00,192.00,87.00
2709,8720.00,-264.00,-13332.00,25.28,148.00,216.00,131.00
2814,8724.00,-160.00,-13460.00,25.33,196.00,191.00,102.00
2919,8916.00,-188.00,-13248.00,25.33,179.00,151.00,109.00
3024,8804.00,-124.00,-13280.00,25.28,185.00,190.00,102.00
3130,8836.00,-208.00,-13236.00,25.33,197.00,181.00,104.00
3234,8804.00,-248.00,-13296.00,25.38,194.00,204.00,95.00
3340,8864.00,-196.00,-13328.00,25.28,180.00,190.00,107.00
3445,8792.00,-284.00,-13244.00,25.33,188.00,176.00,109.00
3550,8764.00,-308.00,-13312.00,25.38,181.00,198.00,125.00
3655,8820.00,-208.00,-13220.00,25.28,179.00,171.00,101.00
3760,8832.00,-172.00,-13292.00,25.33,184.00,194.00,106.00
3865,8840.00,-216.00,-13404.00,25.28,212.00,178.00,103.00
3971,8900.00,-232.00,-13404.00,25.38,214.00,194.00,90.00
4075,8952.00,-304.00,-13296.00,25.24,193.00,173.00,92.00
4180,8948.00,-240.00,-13276.00,25.28,218.00,177.00,94.00
4285,8788.00,-176.00,-13264.00,25.33,197.00,179.00,113.00
4390,8796.00,-288.00,-13300.00,25.38,193.00,171.00,126.00
4496,8812.00,-172.00,-13368.00,25.24,188.00,169.00,95.00
4600,8744.00,-356.00,-13304.00,25.28,173.00,169.00,110.00
4706,8880.00,-120.00,-13284.00,25.38,175.00,153.00,122.00
4810,8836.00,-236.00,-13304.00,25.33,185.00,177.00,110.00
4916,8836.00,-240.00,-13168.00,25.28,194.00,196.00,94.00
5021,8808.00,-208.00,-13348.00,25.33,169.00,190.00,99.00
5126,8820.00,-120.00,-13352.00,25.28,205.00,183.00,93.00
5231,8880.00,-228.00,-13204.00,25.42,187.00,164.00,130.00
5336,8844.00,-188.00,-13316.00,25.28,162.00,175.00,104.00
5441,8800.00,-240.00,-13376.00,25.33,180.00,174.00,96.00
5545,8824.00,-144.00,-13244.00,25.28,185.00,185.00,107.00
5651,8848.00,-244.00,-13304.00,25.38,168.00,190.00,94.00
5756,8808.00,-160.00,-13344.00,25.33,193.00,164.00,94.00
5861,8772.00,-176.00,-13276.00,25.38,157.00,179.00,99.00
5966,8852.00,-216.00,-13248.00,25.24,182.00,185.00,94.00
6071,8828.00,-120.00,-13340.00,25.42,182.00,183.00,75.00
6176,8840.00,-148.00,-13216.00,25.38,203.00,195.00,106.00
6282,8932.00,-240.00,-13356.00,25.38,165.00,158.00,90.00
6386,8932.00,-192.00,-13340.00,25.33,173.00,189.00,102.00
6492,8816.00,-260.00,-13220.00,25.38,170.00,193.00,106.00
6596,8888.00,-164.00,-13144.00,25.38,200.00,163.00,132.00
6702,8960.00,-220.00,-13200.00,25.28,192.00,187.00,130.00
6807,8892.00,-184.00,-13368.00,25.42,183.00,186.00,117.00
6912,8856.00,-164.00,-13316.00,25.42,177.00,179.00,93.00
7017,8892.00,-260.00,-13304.00,25.19,159.00,198.00,88.00
7121,8728.00,-208.00,-13456.00,25.33,153.00,212.00,89.00
7227,8772.00,-316.00,-13436.00,25.19,187.00,173.00,111.00
7332,8888.00,-120.00,-13200.00,25.24,169.00,186.00,105.00
7437,8860.00,-256.00,-13264.00,25.38,195.00,176.00,100.00
7542,8852.00,-156.00,-13312.00,25.28,198.00,172.00,120.00
7647,8792.00,-212.00,-13324.00,25.33,175.00,192.00,89.00
7752,8888.00,-152.00,-13404.00,25.28,141.00,191.00,94.00
7858,8804.00,-248.00,-13304.00,25.33,178.00,176.00,97.00
7962,8952.00,-164.00,-13300.00,25.28,174.00,172.00,97.00
8068,8808.00,-236.00,-13324.00,25.33,164.00,202.00,88.00
8172,8832.00,-220.00,-13248.00,25.38,180.00,183.00,110.00
8278,8872.00,-192.00,-13384.00,25.24,183.00,197.00,87.00
8382,8908.00,-220.00,-13276.00,25.38,199.00,197.00,106.00
8487,8948.00,-144.00,-13228.00,25.24,197.00,174.00,101.00
8593,8856.00,-176.00,-13264.00,25.33,186.00,187.00,93.00
8697,8720.00,-332.00,-13288.00,25.33,158.00,182.00,95.00
8803,8760.00,-228.00,-13268.00,25.42,163.00,178.00,103.00
8907,8832.00,-224.00,-13516.00,25.38,187.00,171.00,78.00
9013,8784.00,-228.00,-13156.00,25.38,167.00,180.00,92.00
9118,8816.00,-176.00,-13148.00,25.38,187.00,187.00,110.00
9223,8788.00,-204.00,-13392.00,25.33,179.00,172.00,96.00
9328,8844.00,-180.00,-13212.00,25.28,192.00,193.00,104.00
9433,8828.00,-144.00,-13380.00,25.42,160.00,170.00,94.00
9538,8920.00,-172.00,-13364.00,25.38,183.00,189.00,85.00
9644,8800.00,-180.00,-13276.00,25.42,154.00,189.00,96.00
9748,8880.00,-240.00,-13296.00,25.28,200.00,177.00,106.00
9853,8860.00,-236.00,-13264.00,25.28,206.00,170.00,117.00
9958,8844.00,-200.00,-13256.00,25.33,200.00,213.00,118.00
10063,8776.00,-220.00,-13320.00,25.28,199.00,181.00,89.00
10169,8876.00,-200.00,-13272.00,25.28,205.00,195.00,127.00
10273,8928.00,-208.00,-13292.00,25.33,200.00,189.00,111.00
10379,8768.00,-228.00,-13332.00,25.33,167.00,191.00,115.00
10484,8884.00,-212.00,-13256.00,25.33,158.00,180.00,95.00
10589,8848.00,-272.00,-13224.00,25.28,165.00,181.00,96.00
10694,8832.00,-184.00,-13388.00,25.28,182.00,185.00,98.00
10799,8860.00,-224.00,-13380.00,25.42,186.00,172.00,102.00
10904,8880.00,-228.00,-13404.00,25.28,192.00,156.00,104.00
11010,8900.00,-292.00,-13328.00,25.33,195.00,186.00,121.00
11114,8852.00,-200.00,-13352.00,25.38,176.00,210.00,88.00
11219,8808.00,-264.00,-13348.00,25.28,210.00,185.00,84.00
11325,8792.00,-332.00,-13340.00,25.33,188.00,190.00,103.00
11429,8912.00,-180.00,-13244.00,25.33,167.00,205.00,83.00
11535,8920.00,-180.00,-13348.00,25.33,203.00,184.00,114.00
11640,8792.00,-188.00,-13316.00,25.38,197.00,191.00,112.00
11745,8856.00,-152.00,-13336.00,25.28,164.00,192.00,129.00
11850,8960.00,-316.00,-13084.00,25.33,133.00,174.00,105.00
11956,8764.00,-328.00,-13376.00,25.24,200.00,205.00,115.00
12060,8856.00,-276.00,-13184.00,25.19,195.00,193.00,91.00
