Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
53990,964.00,-672.00,-15640.00,25.38,191.00,204.00,109.00
54094,860.00,-676.00,-15484.00,25.28,215.00,189.00,94.00
53990,964.00,-672.00,-15640.00,25.38,191.00,204.00,109.00
54094,860.00,-676.00,-15484.00,25.28,215.00,189.00,94.00
53990,964.00,-672.00,-15640.00,25.38,191.00,204.00,109.00
54094,860.00,-676.00,-15484.00,25.28,215.00,189.00,94.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,992.00,-704.00,-15500.00,25.28,177.00,175.00,97.00
186,896.00,-636.00,-15540.00,25.24,191.00,176.00,130.00
291,940.00,-604.00,-15536.00,25.33,185.00,179.00,122.00
396,1044.00,-764.00,-15436.00,25.33,178.00,189.00,111.00
501,1044.00,-676.00,-15620.00,25.28,194.00,166.00,92.00
606,892.00,-696.00,-15580.00,25.33,180.00,171.00,111.00
711,980.00,-688.00,-15516.00,25.24,192.00,191.00,111.00
817,1056.00,-616.00,-15576.00,25.28,178.00,192.00,85.00
921,960.00,-736.00,-15556.00,25.33,169.00,181.00,100.00
1027,996.00,-660.00,-15560.00,25.33,186.00,173.00,92.00
1131,976.00,-660.00,-15424.00,25.24,165.00,195.00,86.00
1236,1028.00,-676.00,-15560.00,25.33,200.00,163.00,97.00
1341,964.00,-604.00,-15456.00,25.33,170.00,154.00,129.00
1446,968.00,-740.00,-15536.00,25.28,195.00,174.00,92.00
1551,896.00,-676.00,-15636.00,25.19,203.00,162.00,102.00
1656,1004.00,-584.00,-15672.00,25.28,161.00,176.00,94.00
1761,980.00,-612.00,-15624.00,25.28,185.00,180.00,111.00
1866,816.00,-652.00,-15708.00,25.33,180.00,187.00,91.00
1972,940.00,-668.00,-15648.00,25.28,199.00,210.00,111.00
2076,952.00,-564.00,-15464.00,25.33,177.00,196.00,103.00
2182,940.00,-568.00,-15528.00,25.33,195.00,180.00,115.00
2286,952.00,-700.00,-15444.00,25.24,205.00,176.00,86.00
2392,928.00,-760.00,-15452.00,25.28,175.00,194.00,93.00
2496,932.00,-604.00,-15616.00,25.28,174.00,174.00,97.00
2601,940.00,-680.00,-15608.00,25.38,184.00,180.00,101.00
2706,900.00,-708.00,-15524.00,25.28,183.00,197.00,106.00
2811,908.00,-672.00,-15564.00,25.38,181.00,168.00,105.00
2917,960.00,-612.00,-15396.00,25.24,179.00,194.00,104.00
3021,856.00,-740.00,-15484.00,25.38,202.00,174.00,107.00
3127,996.00,-620.00,-15548.00,25.42,187.00,184.00,102.00
3231,952.00,-684.00,-15696.00,25.42,194.00,172.00,78.00
3337,876.00,-676.00,-15624.00,25.33,170.00,184.00,89.00
3441,972.00,-660.00,-15568.00,25.24,166.00,185.00,106.00
3547,960.00,-720.00,-15592.00,25.33,172.00,174.00,84.00
3651,940.00,-660.00,-15584.00,25.33,187.00,190.00,93.00
3757,932.00,-608.00,-15600.00,25.33,181.00,185.00,93.00
3862,944.00,-636.00,-15396.00,25.33,180.00,215.00,90.00
3966,1020.00,-708.00,-15520.00,25.33,170.00,191.00,109.00
4072,996.00,-608.00,-15656.00,25.33,189.00,193.00,79.00
4176,880.00,-648.00,-15564.00,25.24,161.00,197.00,103.00
4282,964.00,-640.00,-15576.00,25.28,189.00,173.00,108.00
4386,980.00,-720.00,-15496.00,25.28,156.00,184.00,93.00
4492,1008.00,-672.00,-15436.00,25.28,192.00,204.00,118.00
4597,1064.00,-640.00,-15620.00,25.24,182.00,186.00,110.00
4702,864.00,-628.00,-15532.00,25.38,172.00,189.00,93.00
4807,880.00,-744.00,-15432.00,25.28,193.00,166.00,88.00
4912,1004.00,-676.00,-15656.00,25.38,194.00,210.00,122.00
5017,1000.00,-696.00,-15628.00,25.28,171.00,185.00,108.00
5122,1004.00,-708.00,-15328.00,25.24,197.00,180.00,107.00
5227,928.00,-716.00,-15588.00,25.24,196.00,183.00,105.00
5332,972.00,-684.00,-15484.00,25.33,171.00,162.00,69.00
5437,816.00,-636.00,-15716.00,25.33,186.00,174.00,95.00
5542,896.00,-752.00,-15404.00,25.38,189.00,168.00,101.00
5647,932.00,-676.00,-15584.00,25.42,205.00,176.00,76.00
5752,936.00,-684.00,-15532.00,25.28,176.00,159.00,104.00
5857,996.00,-656.00,-15676.00,25.33,183.00,190.00,121.00
5962,1008.00,-704.00,-15464.00,25.33,183.00,166.00,110.00
6068,996.00,-688.00,-15508.00,25.28,184.00,193.00,99.00
6172,932.00,-716.00,-15420.00,25.28,166.00,184.00,112.00
