Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
9889,1.04,0.01,0.12,29.09,1.20,1.11,0.90
9994,1.04,0.00,0.08,29.00,1.43,1.13,1.13
10098,1.04,0.01,0.12,29.05,1.62,0.44,0.88
10203,1.03,0.01,0.07,29.00,1.27,1.71,1.12
10307,1.04,0.01,0.11,28.95,1.40,0.08,0.93
10412,1.03,0.01,0.10,29.00,1.34,1.73,0.93
10516,1.04,0.01,0.09,29.05,1.36,0.54,0.83
10621,1.04,0.01,0.10,29.09,1.12,1.43,1.02
10726,1.03,0.01,0.08,29.05,1.30,0.79,1.02
10830,1.04,0.01,0.12,29.09,1.15,1.08,0.92
10935,1.04,0.00,0.07,29.05,1.22,1.18,0.98
11039,1.04,0.01,0.13,29.05,1.37,0.38,0.98
11144,1.03,0.01,0.07,29.00,1.39,1.56,1.05
11248,1.04,0.01,0.10,29.05,1.12,0.28,0.84
11353,1.03,0.02,0.09,29.00,0.94,2.00,1.03
11457,1.04,0.01,0.10,29.00,1.49,0.41,1.05
11561,1.03,0.01,0.09,29.05,1.07,1.47,0.84
11666,1.04,0.01,0.09,29.09,1.40,0.57,0.89
11771,1.04,0.02,0.11,29.09,1.23,0.85,0.83
11876,1.03,0.01,0.07,29.05,1.27,1.58,0.99
11980,1.04,0.01,0.12,29.05,1.25,0.39,0.83
12085,1.04,0.01,0.08,29.05,1.31,1.95,1.07
12189,1.04,0.02,0.10,29.09,1.29,0.29,0.83
12294,1.03,0.01,0.09,29.00,1.36,1.33,1.05
12398,1.04,0.01,0.09,29.05,1.33,0.40,0.94
12503,1.04,0.01,0.11,29.05,1.17,0.91,0.94
12607,1.03,0.01,0.08,29.00,1.23,0.98,1.06
12711,1.04,0.01,0.11,29.05,1.30,0.84,0.76
12817,1.03,0.01,0.08,29.00,1.08,1.60,1.03
12921,1.04,0.01,0.12,29.05,1.33,0.32,0.96
13026,1.04,0.01,0.08,29.09,1.21,1.77,1.01
13130,1.04,0.01,0.10,29.14,1.56,0.25,1.02
13235,1.03,0.01,0.11,29.09,1.42,1.41,1.12
13339,1.04,0.00,0.09,29.05,1.50,0.69,1.08
13444,1.03,0.01,0.12,29.09,1.17,1.13,1.05
13548,1.03,0.01,0.07,29.00,1.37,1.14,1.10
13652,1.03,0.01,0.11,29.00,1.44,0.72,0.98
13757,1.03,0.01,0.07,29.09,1.30,1.56,0.93
13862,1.04,0.01,0.12,29.05,1.15,0.33,0.85
13967,1.03,0.01,0.08,29.05,0.98,1.78,1.18
14071,1.03,0.01,0.10,29.00,1.43,0.04,1.15
14176,1.03,0.01,0.10,29.14,1.15,1.56,1.04
14280,1.04,0.01,0.07,29.00,1.21,1.04,1.08
14385,1.04,0.16,0.12,28.95,1.80,0.82,1.43
14489,1.04,0.01,0.07,29.00,1.86,1.53,0.95
14594,1.04,0.01,0.11,29.05,1.47,0.57,0.82
14698,1.03,0.00,0.08,29.00,1.50,1.57,1.09
14802,1.04,0.01,0.10,29.05,1.18,0.31,0.85
14908,1.03,0.01,0.07,29.00,1.64,2.01,0.95
15012,1.04,0.01,0.08,29.05,1.22,0.26,0.89
15117,1.04,0.01,0.11,29.00,0.69,1.40,0.87
15221,1.03,0.00,0.07,28.95,1.18,0.84,1.02
15326,1.04,0.01,0.12,29.09,1.49,0.63,1.02
15430,1.03,0.01,0.08,29.05,2.06,1.89,0.91
15535,1.04,0.01,0.12,29.09,1.47,0.31,1.00
15639,1.03,0.01,0.08,29.09,1.12,1.56,0.97
15744,1.04,0.01,0.12,29.05,0.99,0.16,0.79
15848,1.03,0.01,0.09,29.00,1.27,1.68,0.76
15953,1.04,0.01,0.10,29.05,1.43,0.40,1.09
16058,1.05,0.01,0.11,29.05,1.05,1.20,0.65
16162,1.03,0.01,0.06,29.00,1.37,1.23,1.11
16267,1.04,0.01,0.11,29.05,1.22,0.56,0.95
16371,1.03,0.01,0.07,29.00,1.44,1.38,1.12
16476,1.04,0.01,0.11,29.00,1.49,0.66,0.92
16580,1.04,0.01,0.08,29.05,1.31,1.60,0.88
16685,1.04,0.01,0.11,29.00,1.29,-0.05,1.06
16789,1.03,0.01,0.09,29.05,1.21,1.36,0.89
16893,1.04,0.01,0.08,29.00,1.12,0.78,1.04
16999,1.04,0.01,0.11,29.05,1.27,1.02,0.84
17103,1.03,0.01,0.07,29.00,1.25,1.17,0.86
17208,1.04,0.01,0.11,29.00,1.08,0.59,1.06
17312,1.04,0.01,0.07,29.00,1.52,1.41,1.09
17417,1.04,0.01,0.12,29.05,1.24,0.33,0.69
17521,1.04,0.01,0.08,29.09,1.26,1.73,0.98
17626,1.03,0.01,0.10,29.14,1.44,0.32,0.95
17730,1.03,0.01,0.10,29.09,1.34,1.51,0.94
17835,1.03,0.01,0.08,29.05,1.41,0.82,1.08
17939,1.04,0.01,0.11,29.09,1.07,0.79,0.75
18044,1.04,0.01,0.07,29.09,1.27,1.23,1.08
18149,1.04,0.01,0.11,29.05,1.35,0.47,0.95
18253,1.03,0.01,0.07,29.05,1.29,1.65,1.08
18358,1.04,0.02,0.11,29.09,1.43,0.40,1.02
18462,1.03,0.01,0.08,29.09,1.24,1.52,1.02
18567,1.04,0.01,0.10,29.14,1.47,0.34,0.92
18671,1.04,0.02,0.10,29.00,1.18,1.42,1.09
18776,1.04,0.01,0.09,29.05,1.31,1.09,0.89
18880,1.04,0.01,0.12,29.05,1.44,0.68,0.85
18984,1.03,0.01,0.07,29.14,1.33,1.26,0.98
19090,1.05,0.01,0.10,29.14,1.33,0.26,0.96
19194,1.03,0.01,0.08,29.14,1.31,1.53,1.08
19299,1.04,0.01,0.11,29.14,1.40,0.42,0.92
19403,1.03,0.01,0.09,29.00,1.27,1.25,1.04
19508,1.03,0.01,0.08,29.00,1.44,0.56,0.99
19612,1.04,0.02,0.12,29.09,1.28,1.15,0.85
19717,1.03,0.01,0.08,29.00,1.21,1.08,1.16
19821,1.04,0.02,0.12,29.00,1.44,0.37,0.95
19926,1.04,0.01,0.08,29.09,1.36,1.72,0.98
20030,1.05,0.01,0.11,29.00,1.32,0.38,1.10
20135,1.03,0.01,0.08,28.95,1.18,1.72,1.10
20240,1.04,0.01,0.11,29.00,1.28,0.46,0.92
20344,1.03,0.01,0.10,29.05,1.21,1.47,0.87
20449,1.03,0.01,0.08,29.19,1.24,0.71,0.86
20553,1.04,0.01,0.11,29.14,1.50,1.05,0.85
20658,1.03,0.00,0.07,29.00,1.27,1.41,0.89
20762,1.04,0.02,0.11,29.05,1.56,0.17,0.87
