Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
9998,0.36,-0.06,-0.89,27.07,1.27,1.57,0.85
10102,0.36,-0.06,-0.89,27.17,1.34,1.69,0.94
10207,0.35,-0.06,-0.89,27.17,1.18,1.53,0.79
10312,0.36,-0.06,-0.89,27.07,1.12,1.60,0.76
10417,0.36,-0.06,-0.89,27.26,1.34,1.19,0.90
10521,0.35,-0.06,-0.89,27.17,1.24,1.52,0.92
10626,0.35,-0.06,-0.89,27.17,1.40,1.53,0.63
10730,0.35,-0.06,-0.88,27.12,1.37,1.46,0.77
10834,0.36,-0.05,-0.89,27.17,1.27,1.60,0.76
10939,0.36,-0.06,-0.89,27.12,1.29,1.64,0.88
11043,0.35,-0.06,-0.89,27.17,1.44,1.37,0.85
11149,0.36,-0.06,-0.89,27.21,1.24,1.47,0.78
11253,0.35,-0.06,-0.90,27.26,1.30,1.49,0.87
11358,0.36,-0.05,-0.89,27.26,1.34,1.37,0.69
11462,0.36,-0.06,-0.88,27.12,1.27,1.26,0.86
11567,0.35,-0.05,-0.89,27.17,1.36,0.76,0.82
11671,0.35,-0.05,-0.89,27.21,1.56,1.06,0.63
11776,0.35,-0.06,-0.87,27.26,1.49,1.56,0.93
11880,0.36,-0.05,-0.89,27.17,1.44,1.53,0.66
11985,0.36,-0.06,-0.89,27.21,1.18,1.34,0.80
12090,0.36,-0.06,-0.90,27.21,1.50,1.43,0.84
12194,0.35,-0.06,-0.89,27.21,1.29,1.11,0.82
12299,0.35,-0.06,-0.90,27.26,1.27,1.67,0.78
12403,0.36,-0.07,-0.89,27.26,1.21,1.47,0.86
12508,0.35,-0.05,-0.89,27.31,1.24,1.47,0.95
12612,0.35,-0.05,-0.89,27.21,1.18,1.62,0.87
12717,0.36,-0.06,-0.89,27.26,1.24,1.68,0.97
12822,0.36,-0.06,-0.89,27.21,1.40,1.21,0.95
12926,0.35,-0.06,-0.89,27.26,1.27,1.40,0.82
13031,0.35,-0.06,-0.89,27.26,1.44,1.31,0.91
13135,0.35,-0.06,-0.89,27.21,1.34,1.85,0.66
13240,0.35,-0.05,-0.90,27.26,1.39,1.56,0.76
13344,0.36,-0.06,-0.89,27.26,1.26,1.03,0.73
13449,0.36,-0.06,-0.89,27.35,1.35,1.59,0.82
13553,0.36,-0.06,-0.89,27.35,1.32,1.79,0.75
13659,0.36,-0.06,-0.89,27.45,1.40,1.33,0.69
13763,0.35,-0.05,-0.88,27.35,1.47,1.16,0.84
13868,0.35,-0.06,-0.89,27.26,1.33,1.48,0.72
13972,0.36,-0.06,-0.89,27.26,1.47,1.53,0.81
14076,0.35,-0.06,-0.89,27.35,1.32,1.49,0.89
14181,0.35,-0.05,-0.89,27.35,1.40,1.60,0.92
14285,0.35,-0.06,-0.88,27.45,1.37,1.31,0.90
14390,0.36,-0.06,-0.90,27.35,1.27,1.49,0.84
14495,0.35,-0.05,-0.90,27.40,1.30,1.47,0.82
14600,0.35,-0.06,-0.88,27.31,1.21,1.24,0.94
14704,0.35,-0.05,-0.89,27.21,1.22,1.33,0.85
14809,0.36,-0.05,-0.89,27.31,1.25,1.52,0.82
14913,0.35,-0.05,-0.88,27.35,1.05,1.52,0.74
15017,0.35,-0.06,-0.89,27.40,1.20,1.41,0.83
15122,0.35,-0.06,-0.89,27.40,1.20,1.47,0.84
15226,0.36,-0.06,-0.90,27.40,1.27,1.48,0.76
15332,0.35,-0.06,-0.89,27.40,1.39,1.47,0.72
15436,0.36,-0.05,-0.89,27.40,1.42,0.98,0.71
15541,0.36,-0.06,-0.89,27.31,1.31,1.58,0.74
15645,0.35,-0.05,-0.90,27.49,1.22,1.49,0.85
15750,0.36,-0.06,-0.89,27.40,1.51,1.61,0.60
15854,0.36,-0.05,-0.90,27.45,1.56,1.60,0.76
15959,0.36,-0.05,-0.89,27.35,1.23,1.15,0.77
16063,0.35,-0.05,-0.89,27.31,1.35,1.74,0.86
16168,0.36,-0.06,-0.89,27.45,1.53,1.26,0.77
16273,0.36,-0.05,-0.88,27.40,1.40,1.93,0.81
16377,0.35,-0.06,-0.89,27.40,1.42,1.53,0.79
16482,0.36,-0.06,-0.89,27.40,1.36,1.54,0.68
16586,0.35,-0.06,-0.89,27.35,1.35,1.05,0.89
16691,0.35,-0.05,-0.88,27.45,1.45,1.67,0.69
16795,0.36,-0.06,-0.88,27.45,1.27,1.54,0.87
16900,0.35,-0.06,-0.89,27.40,1.22,1.21,0.81
17004,0.36,-0.06,-0.89,27.49,1.27,1.66,0.84
17110,0.35,-0.05,-0.89,27.49,1.35,0.98,0.88
17214,0.36,-0.06,-0.89,27.49,1.16,1.01,0.86
17318,0.35,-0.05,-0.89,27.40,1.34,1.62,0.76
17423,0.36,-0.06,-0.89,27.49,1.34,1.53,0.79
17527,0.36,-0.06,-0.88,27.45,1.33,1.15,0.88
17632,0.36,-0.05,-0.89,27.49,1.34,1.27,0.85
17736,0.36,-0.06,-0.89,27.45,1.31,1.48,0.81
17841,0.35,-0.06,-0.89,27.54,1.32,1.42,0.78
17946,0.36,-0.05,-0.89,27.49,1.27,1.79,0.92
18051,0.36,-0.06,-0.89,27.49,1.20,1.19,0.85
18155,0.35,-0.05,-0.89,27.40,1.16,1.41,0.71
18259,0.36,-0.06,-0.89,27.45,1.57,2.12,0.76
18364,0.36,-0.06,-0.89,27.54,1.51,1.40,0.77
18468,0.36,-0.06,-0.89,27.40,1.38,1.40,0.85
18573,0.36,-0.06,-0.89,27.49,1.27,1.24,0.84
18677,0.35,-0.05,-0.89,27.59,1.37,1.53,0.82
18783,0.35,-0.06,-0.89,27.49,1.49,1.69,0.84
18887,0.36,-0.06,-0.88,27.45,1.42,1.67,0.91
18992,0.36,-0.05,-0.89,27.59,1.40,1.27,0.86
19096,0.36,-0.06,-0.88,27.59,1.40,1.36,0.78
19201,0.35,-0.06,-0.88,27.54,1.39,1.37,0.66
19305,0.36,-0.05,-0.89,27.40,1.33,1.39,0.82
19409,0.35,-0.06,-0.89,27.45,1.24,1.40,1.05
19514,0.35,-0.06,-0.88,27.59,1.26,1.44,0.85
19619,0.35,-0.06,-0.89,27.45,1.18,1.71,0.79
19724,0.36,-0.06,-0.89,27.59,1.24,1.36,0.80
19828,0.35,-0.06,-0.88,27.54,1.34,1.27,0.91
19933,0.36,-0.06,-0.88,27.49,1.44,1.68,0.70
20037,0.36,-0.06,-0.90,27.54,1.20,1.58,0.90
20142,0.35,-0.05,-0.89,27.49,1.25,1.86,0.92
20246,0.35,-0.06,-0.90,27.49,1.27,1.62,0.76
20350,0.36,-0.05,-0.90,27.54,1.34,0.92,0.74
20456,0.36,-0.06,-0.89,27.59,1.40,1.80,0.66
