Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,12512.00,48.00,-10316.00,24.48,202.00,189.00,76.00
186,12512.00,56.00,-10344.00,24.58,164.00,181.00,101.00
291,12524.00,56.00,-10200.00,24.53,190.00,184.00,103.00
396,12392.00,-24.00,-10392.00,24.62,161.00,185.00,115.00
501,12496.00,-92.00,-10540.00,24.53,171.00,167.00,102.00
607,12412.00,32.00,-10340.00,24.48,203.00,187.00,96.00
711,12436.00,-28.00,-10232.00,24.58,160.00,182.00,103.00
817,12388.00,-16.00,-10312.00,24.62,181.00,178.00,85.00
921,12420.00,100.00,-10476.00,24.53,168.00,164.00,104.00
1027,12444.00,56.00,-10300.00,24.67,153.00,189.00,108.00
1131,12564.00,-8.00,-10508.00,24.53,179.00,167.00,86.00
1236,12440.00,48.00,-10284.00,24.58,185.00,179.00,100.00
1342,12544.00,116.00,-10440.00,24.62,167.00,186.00,124.00
1446,12436.00,-68.00,-10360.00,24.58,159.00,184.00,102.00
1552,12540.00,-112.00,-10384.00,24.53,171.00,195.00,89.00
1656,12488.00,64.00,-10312.00,24.62,163.00,175.00,91.00
1762,12440.00,32.00,-10232.00,24.58,156.00,201.00,89.00
1867,12448.00,-64.00,-10272.00,24.58,170.00,179.00,95.00
1972,12476.00,16.00,-10392.00,24.53,162.00,192.00,107.00
2077,12420.00,8.00,-10312.00,24.53,180.00,159.00,82.00
2182,12488.00,36.00,-10292.00,24.62,164.00,190.00,89.00
2287,12428.00,-40.00,-10424.00,24.67,177.00,176.00,98.00
2392,12412.00,-8.00,-10416.00,24.67,179.00,183.00,91.00
2497,12464.00,-4.00,-10360.00,24.62,169.00,197.00,103.00
2601,12416.00,60.00,-10556.00,24.58,152.00,171.00,93.00
2707,12440.00,36.00,-10340.00,24.58,172.00,189.00,90.00
2812,12456.00,8.00,-10288.00,24.67,167.00,215.00,107.00
2917,12412.00,4.00,-10224.00,24.62,178.00,192.00,102.00
3022,12540.00,12.00,-10492.00,24.58,178.00,186.00,98.00
3127,12388.00,-4.00,-10380.00,24.67,164.00,164.00,118.00
3232,12480.00,-12.00,-10408.00,24.62,163.00,159.00,104.00
3337,12408.00,8.00,-10276.00,24.62,165.00,174.00,97.00
3442,12356.00,36.00,-10372.00,24.67,175.00,186.00,107.00
3548,12516.00,56.00,-10240.00,24.58,172.00,192.00,84.00
3652,12468.00,0.00,-10224.00,24.67,186.00,183.00,99.00
3758,12412.00,-60.00,-10272.00,24.62,173.00,184.00,105.00
3862,12440.00,36.00,-10352.00,24.53,171.00,177.00,97.00
3968,12408.00,-64.00,-10360.00,24.72,163.00,178.00,104.00
4072,12436.00,16.00,-10332.00,24.62,193.00,187.00,107.00
4177,12520.00,72.00,-10424.00,24.62,181.00,204.00,94.00
4283,12416.00,16.00,-10236.00,24.62,198.00,193.00,99.00
4387,12476.00,36.00,-10408.00,24.62,169.00,185.00,118.00
4493,12428.00,28.00,-10412.00,24.62,180.00,179.00,90.00
4597,12388.00,64.00,-10316.00,24.67,163.00,187.00,97.00
4703,12484.00,-64.00,-10300.00,24.77,138.00,160.00,101.00
4808,12448.00,44.00,-10272.00,24.67,177.00,179.00,116.00
4913,12424.00,36.00,-10416.00,24.67,184.00,179.00,96.00
5018,12440.00,-16.00,-10512.00,24.67,160.00,188.00,110.00
5123,12488.00,88.00,-10212.00,24.58,202.00,181.00,106.00
5228,12452.00,-28.00,-10356.00,24.67,160.00,187.00,118.00
5334,12504.00,-32.00,-10196.00,24.67,155.00,197.00,98.00
5438,12384.00,-36.00,-10420.00,24.62,178.00,179.00,94.00
5543,12480.00,-24.00,-10384.00,24.62,162.00,173.00,81.00
5648,12480.00,8.00,-10340.00,24.67,161.00,180.00,98.00
5753,12452.00,12.00,-10416.00,24.67,192.00,191.00,97.00
5858,12368.00,-40.00,-10408.00,24.62,171.00,173.00,128.00
5963,12416.00,-24.00,-10360.00,24.67,174.00,184.00,89.00
6069,12480.00,0.00,-10292.00,24.77,162.00,208.00,92.00
6173,12392.00,84.00,-10528.00,24.67,154.00,181.00,97.00
6279,12436.00,-20.00,-10288.00,24.58,162.00,181.00,109.00
6383,12392.00,108.00,-10388.00,24.67,186.00,193.00,94.00
6489,12396.00,0.00,-10404.00,24.72,174.00,175.00,110.00
6593,12460.00,56.00,-10412.00,24.67,184.00,175.00,105.00
