Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
240072,0.26,0.03,-0.92,28.95,1.50,0.79,0.93
240177,0.27,0.03,-0.92,28.86,1.34,1.71,0.96
240072,0.26,0.03,-0.92,28.95,1.50,0.79,0.93
240177,0.27,0.03,-0.92,28.86,1.34,1.71,0.96
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,0.26,0.03,-0.92,28.95,1.52,1.63,0.77
172,0.26,0.03,-0.92,28.95,1.51,1.37,0.93
276,0.26,0.02,-0.92,28.86,1.38,1.40,0.82
380,0.27,0.03,-0.91,28.91,1.05,1.46,0.84
485,0.26,0.03,-0.91,28.95,1.27,1.28,0.94
589,0.26,0.03,-0.92,28.86,1.22,1.38,0.80
694,0.27,0.03,-0.92,28.91,1.40,1.79,0.62
798,0.26,0.03,-0.92,28.95,1.22,1.89,1.02
903,0.27,0.03,-0.92,28.91,1.21,1.23,0.83
1007,0.26,0.03,-0.92,28.86,1.35,1.36,0.83
1112,0.26,0.03,-0.93,28.91,1.30,1.44,0.92
1217,0.26,0.03,-0.91,28.95,1.19,1.34,0.89
1321,0.26,0.03,-0.93,28.91,1.27,1.28,1.00
1426,0.26,0.03,-0.92,29.05,1.35,1.40,0.92
1530,0.26,0.03,-0.93,29.00,1.23,1.47,0.95
1635,0.27,0.04,-0.92,28.95,1.55,1.27,0.86
1739,0.27,0.03,-0.91,28.81,1.45,1.82,0.89
1844,0.27,0.04,-0.92,28.95,1.40,1.33,0.84
1948,0.26,0.04,-0.93,28.95,1.36,0.95,0.87
2053,0.27,0.03,-0.92,28.91,1.31,1.81,0.72
2157,0.26,0.04,-0.92,28.95,1.30,1.66,0.66
2262,0.27,0.03,-0.93,29.00,1.24,1.31,0.68
2366,0.27,0.03,-0.92,28.95,1.47,1.17,0.90
2470,0.26,0.02,-0.92,28.91,1.31,1.35,0.89
2575,0.27,0.03,-0.92,28.86,1.39,1.64,0.99
2680,0.26,0.03,-0.93,29.00,1.11,1.49,1.01
2785,0.26,0.03,-0.91,28.86,1.35,1.40,0.79
2889,0.27,0.03,-0.92,29.00,1.21,1.53,0.76
2994,0.26,0.04,-0.93,29.05,1.41,1.37,0.88
3098,0.27,0.03,-0.93,28.91,1.52,1.55,0.91
3203,0.26,0.03,-0.92,29.00,1.27,1.45,0.95
3307,0.27,0.03,-0.93,28.95,1.27,1.33,0.63
3411,0.26,0.03,-0.92,28.91,1.34,1.48,0.95
3516,0.27,0.03,-0.93,28.95,1.33,1.44,0.93
3620,0.27,0.04,-0.92,29.00,1.32,1.53,0.98
3725,0.27,0.03,-0.92,28.95,1.39,1.28,0.82
3829,0.27,0.03,-0.92,29.00,1.33,1.69,0.85
3934,0.27,0.03,-0.93,28.86,1.33,1.55,0.91
4039,0.27,0.03,-0.91,29.00,1.44,1.38,0.89
4144,0.27,0.03,-0.92,28.95,1.46,1.35,1.05
4248,0.27,0.03,-0.92,28.91,1.47,1.59,1.01
4353,0.27,0.03,-0.92,28.91,1.10,1.47,0.86
4457,0.27,0.04,-0.93,28.95,1.39,1.50,0.83
4561,0.26,0.03,-0.93,28.91,1.40,1.47,0.82
4666,0.27,0.03,-0.92,28.95,1.35,1.42,0.78
4770,0.27,0.03,-0.92,29.00,1.31,1.31,0.77
4875,0.27,0.03,-0.91,28.86,1.54,1.56,0.92
4979,0.27,0.03,-0.93,28.95,1.42,1.39,0.65
5084,0.28,0.03,-0.92,28.95,1.35,1.78,0.97
5188,0.27,0.03,-0.92,28.91,1.24,1.80,0.75
5293,0.27,0.03,-0.92,29.05,1.41,1.51,0.88
5397,0.27,0.03,-0.93,29.00,1.38,1.21,0.92
5502,0.27,0.03,-0.91,28.86,1.34,1.28,1.02
5607,0.27,0.03,-0.91,29.00,1.57,1.31,0.74
