X,Y,Z
-137.2414963124998,67.90088037499997,-587.7282789375001
-143.5454872499998,64.55778631249997,-586.5004588125001
-150.45229674999982,60.60398599999997,-585.2726386875001
-158.07013431249982,56.05423856249997,-584.0448185625002
-166.50215224999982,50.88445443749997,-583.0264868125001
-175.72705056249984,45.16291631249997,-582.395147625
-185.48909874999984,39.18821418749997,-581.941312625
-195.44554449999984,33.21351206249997,-581.487477625
-205.55740012499984,27.238809937499973,-581.2113643125
-215.82466562499985,21.264107812499972,-581.3916860625001
-226.09193112499986,15.289405687499972,-582.0513320625001
-236.35919662499987,9.704569999999972,-583.1208701875001
-246.62646212499988,4.927542437499972,-584.3996895625002
-256.8937276249999,0.8440903124999721,-585.6785089375002
-267.1609931249999,-2.732678312500028,-586.9573283125002
-277.4282586249999,-5.763395437500028,-588.2361476875002
-287.6955241249999,-8.27038300000003,-589.2309225000002
-297.9627896249999,-10.342636312500028,-589.6574135000002
-308.45423437499994,-12.188883187500029,-589.5312551250003
-319.16985837499993,-14.035130062500029,-588.8494185000003
-329.8854823749999,-16.091100625000028,-587.6888404375003
-340.6011063749999,-18.356794875000027,-586.3367890625003
-351.5452595624999,-20.622489125000026,-584.9847376875003
-362.7179419374999,-22.888183375000025,-583.4575135625004
-373.89062431249994,-25.153877625000025,-581.7551166875004
-385.06330668749996,-27.583798250000022,-580.0527198125004
-396.2359890625,-30.365747125000023,-578.3503229375004
-407.4086714375,-33.58028062500002,-576.6479260625005
-418.5813538125,-37.03959687500002,-574.9455291875005
-429.75403618750005,-40.761832750000025,-572.9190252500005
-440.92671856250007,-44.973927187500024,-570.3365270625005
-452.0994009375001,-49.412960562500025,-567.5221416875005
-463.2720833125001,-53.851993937500026,-564.4357987500005
-474.2330141250001,-58.29102731250003,-560.8619630000004
-484.9821933750001,-62.73006068750003,-557.0725920000004
-495.7313726250001,-67.16909406250002,-553.2832210000005
-506.79915812500013,-71.60812743750002,-549.4938500000005
-518.5488475000001,-75.88785875,-545.7044790000006
-530.9958974375,-80.00828800000001,-541.9151080000006
-544.04605675,-84.12871725000001,-538.1257370000006
-557.6170928750001,-88.53348700000001,-534.3363660000007
-571.7997249375002,-93.58177168750001,-530.5469950000007
-586.6841201875002,-99.14953750000001,-526.9169032500008
-601.9105130625002,-104.87761,-523.4460907500008
-617.1369059375002,-110.6056825,-520.2673954375009
-632.3632988125001,-116.5851828125,-517.7532795625009
-647.5896916875001,-123.02282687499999,-515.8581871875009
-662.8160845625001,-129.667186875,-514.487396500001
-678.0424774375001,-136.311546875,-513.8064220625009
-693.2688703125001,-142.955906875,-513.8148049375009
-708.4952631875001,-149.60026687500002,-514.1004693125009
-723.7216560625001,-156.24462687500002,-514.3861336875009
-738.9480489375001,-163.04793412500004,-514.6717980625009
-754.1744418125,-170.01018862500004,-514.673509875001
-769.70313175,-177.17896693750004,-514.0387593125009
-785.832032,-184.73966681250002,-512.686552437501
-802.468298875,-192.48576443750002,-510.4965348750009
-819.6277171874999,-200.43671150000003,-507.39704781250094
-837.333916375,-208.78343237500005,-503.4686272500009
-855.273198375,-217.48703918750005,-498.8424528750009
-873.475464,-226.35660756250005,-493.5049811250009
-892.251324875,-235.22617593750005,-487.3283608125009
-911.551333,-244.09574431250005,-480.24638737500084
-931.238716625,-252.96531268750005,-472.02162812500086
-951.3974450625001,-261.8348810625,-462.47894750000086
-972.1597160625001,-270.7044494375,-451.54237956250086
-993.6867275000001,-279.57401781249996,-439.14211193750083
-1016.2259760000001,-288.44358618749993,-425.22542643750086
-1039.6878861250002,-297.3131545624999,-409.81306800000084
-1063.8910156250004,-306.1827229374999,-393.23276618750083
-1088.9171966875003,-315.05229131249985,-375.76350025000085
-1114.8344909375003,-323.68753393749984,-357.5776630000008
-1141.4389366250002,-331.71854793749986,-338.9246137500008
-1168.2903801250002,-338.99911299999985,-320.1036237500008
-1195.1418236250001,-345.48422037499984,-301.4640950625008
-1221.993267125,-351.2616343749998,-283.36454993750084
-1249.036129375,-356.2742091874998,-265.92913318750084
-1276.270410375,-360.3742248124998,-248.79932256250083
-1303.504691375,-363.6108595624998,-231.83360118750082
-1330.738972375,-366.0886296249998,-215.03196906250082
-1357.973253375,-368.23041412499975,-198.23033693750082
-1385.207534375,-370.1663134999997,-181.42870481250083
-1412.441815375,-371.8963277499997,-164.62707268750083
-1439.676096375,-373.62634199999974,-147.82544056250083
-1466.910377375,-375.35635624999975,-131.02380843750083
-1494.144658375,-377.08637049999976,-114.22217631250084
-1521.19569225,-378.81638474999977,-97.64219356250084
-1548.0634790000001,-380.5463989999998,-81.66781356250084
-1574.9312657500002,-382.2764132499998,-66.45434912500083
-1601.7990525000002,-384.0064274999998,-52.00610812500083
-1628.6668392500003,-385.7364417499998,-38.16164100000083
-1655.5346260000003,-387.4664559999998,-24.69962850000082
-1682.4024127500004,-389.4200845624998,-11.404558000000815
-1709.2701995000004,-391.8919433124998,1.8905124999991898
-1736.3112401875005,-395.1122607499998,15.185582999999195
-1763.5255348125006,-399.1332247499998,28.4806534999992
-1790.7398294375007,-403.8066095624998,41.9532243124992
-1817.9541240625008,-409.02903893749976,55.791172999999205
-1845.168418687501,-414.49489581249975,70.07067012499921
-1872.382713312501,-419.96075268749973,84.85143243749921
-1899.597007937501,-425.4266095624997,100.08396981249922
-1926.8113025625012,-430.8924664374997,115.52068793749922
-1954.0255971875013,-436.3583233124997,130.95740606249922
-1981.2398918125014,-441.8241801874997,146.58650037499922
-2008.4541864375014,-447.1031800624997,162.59696956249923
-2035.6684810625015,-452.19532293749967,179.02518406249925
-2062.7209133125016,-457.28746581249965,195.68214518749926
-2089.3952986875015,-462.3796086874996,212.33910631249927
-2115.8534995625014,-467.4717515624996,228.99606743749928
-2142.3117004375013,-472.5638944374996,245.46477043749928
-2168.769901312501,-477.65603731249956,261.4784606874993
-2195.228102187501,-482.55831306249956,276.8580768124993
-2221.686303062501,-487.09111068749957,291.28829543749924
-2248.1445039375008,-491.11071924999953,304.65065381249923
-2274.6027048125006,-494.53957581249955,317.03904362499924
-2301.0609056875005,-497.4745169374996,328.54989143749924
-2327.5191065625004,-499.77546481249954,339.4000923124992
-2353.7863160625,-501.35185406249957,349.68248931249923
-2379.6902931875,-502.24945112499955,359.2059099999992
-2405.1561505625004,-502.59380593749955,368.01131387499925
-2429.9854585625003,-502.46958549999954,376.30182424999924
-2453.9326636875003,-502.07854674999953,384.0776708749993
-2476.8623126250004,-501.38805124999953,391.3439871874993
-2499.0161967500007,-500.0141147499995,398.1446619999993
-2520.5497286250006,-497.9582350624995,404.7339022499993
-2541.732549125001,-495.29207012499955,411.3231424999993
-2562.915369625001,-492.12911249999956,417.91238274999927
-2584.098190125001,-488.4699491874996,424.50162299999926
-2605.2810106250013,-484.21275937499956,431.09086324999924
-2626.4638311250014,-479.2905948124996,437.52640118749923
-2647.7977886875015,-473.6405239999996,443.8082368124992
-2669.2828833125013,-467.32955606249953,450.0900724374992
-2690.767977937501,-460.34887412499955,456.3719080624992
-2712.253072562501,-452.71497993749955,462.41570868749915
-2733.738167187501,-444.41943043749956,468.22147431249914
-2755.223261812501,-435.5176584999995,474.02723993749913
-2776.7083564375007,-426.37614274999953,480.0296966874991
-2798.3803371250006,-417.23462699999953,486.5486092499991
-2820.2392038750004,-408.32576381249953,493.5765413124991
-2842.098070625,-399.95431431249955,500.7937281874991
-2863.956937375,-392.31645899999955,508.01091506249907
-2885.6593063124997,-385.4652793124996,515.2281019374991
-2907.0116006874996,-379.3515019374996,522.1193749999992
-2927.9788108749995,-373.87983168749963,528.3236709374992
-2948.7545136249996,-368.94052149999965,533.9300963124992
-2969.3060379999997,-364.27102399999967,538.9913617499992
-2989.4789841875,-359.6015264999997,543.4624816249992
-3009.3193726874997,-354.9320289999997,547.4214765624993
-3028.9816033125,-350.26253149999974,551.1501394374993
-3048.6438339375,-345.59303399999976,554.8788023124994
-3068.4663140625003,-340.9235364999998,558.6074651874994
-3088.7316011875005,-336.2540389999998,562.3361280624995
-3109.5814713125005,-331.41617537499985,566.0647909374995
-3130.9985184375005,-326.40994562499986,569.7934538124996
-3153.0139072500006,-321.4037158749999,573.5221166874996
-3175.7376644375004,-316.3974861249999,577.2507795624997
-3199.0374138125003,-311.3912563749999,580.8253031874998
-3222.7277674375005,-306.3850266249999,584.2456875624998
-3246.7816623125004,-301.3787968749999,587.5155547499999
-3271.0093081875,-296.37256712499993,590.6349047499999
-3295.2369540625,-291.36633737499994,593.75425475
-3319.4645999374998,-286.36010762499996,596.87360475
-3343.6922458124996,-281.35387787499997,600.2233196875001
-3368.137773624999,-276.347648125,604.0766658750001
-3393.120814499999,-271.341418375,608.3566169375001
-3418.652810687499,-266.335188625,613.0065098750001
-3444.729721312499,-261.328958875,618.2250502500001
-3471.455205749999,-256.322729125,624.0318611250001
-3498.8048628124993,-251.480538625,630.3507299375001
-3526.749458499999,-246.802387375,637.2363041875001
-3555.175102437499,-242.12423612499998,644.4127523125001
-3583.9640411249993,-237.81239649999998,651.5892004375
-3612.9389758749994,-233.86686849999998,658.7656485625
-3642.1428706874995,-229.92134049999999,665.9420966875
-3671.7990196249993,-225.9758125,672.839543875
-3701.9463016249993,-222.0302845,679.236185125
-3732.6220040624994,-218.0847565,685.1252085
-3763.5582879374992,-214.1392285,690.4429675625
-3794.494571812499,-209.9980645,695.2014683125001
-3825.430855687499,-205.3688499375,699.3787694375002
-3856.367139562499,-200.24045637499998,703.2486778125002
-3887.3034234374986,-194.69892012499997,707.1185861875002
-3918.2397073124985,-188.74955643749996,711.1666815625002
-3948.9374712499985,-182.31200531249993,715.5528155000002
-3979.1548102499987,-175.4373691874999,720.0988010000002
-4009.1302442499987,-168.4123863124999,724.6447865000002
-4039.1056782499986,-161.3874034374999,729.1907720000003
-4069.0811122499986,-154.3624205624999,733.7367575000003
-4099.241785624999,-147.3374376874999,738.2827430000003
-4129.587698374999,-140.31245481249988,742.6469991875003
-4159.731227874999,-133.28747193749987,746.6147076875003
-4189.672374124999,-126.26248906249987,750.1402075000003
-4219.613520374999,-119.23750618749986,753.4383170000003
-4249.554666624999,-111.94210312499986,756.7364265000003
-4279.4958128749995,-104.12528943749986,760.2941401875004
-4309.436959125,-95.81123843749987,764.1114580625003
-4339.378105375,-86.91250524999987,767.9287759375003
-4369.319251625,-77.26235668749987,771.7460938125002
-4399.260397875,-66.81544724999986,775.5634116875002
-4429.2015441250005,-55.617033312499856,779.3807295625002
-4458.964662875001,-43.84540074999986,782.9012683125002
-4488.549754125001,-31.86827324999986,785.7086770625001
-4518.134845375001,-19.891145749999858,787.4683550625001
-4547.719936625001,-7.914018249999858,788.0275255625002
-4577.305027875001,4.063109250000142,787.4938832500002
-4606.890119125001,16.04023675000014,785.9173273750001
