Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
10624,0.08,0.00,0.97,28.95,1.58,0.85,0.94
10728,0.07,0.00,0.94,28.81,1.40,1.04,0.98
10832,0.07,0.01,0.95,28.86,1.55,1.01,0.98
10937,0.08,0.01,0.96,28.91,1.33,0.97,0.94
11041,0.08,0.00,0.95,28.81,1.25,0.89,1.08
11146,0.08,0.01,0.95,28.91,1.34,1.02,0.94
11251,0.08,0.00,0.95,28.81,1.47,1.05,0.98
11356,0.07,0.00,0.96,28.86,1.40,1.06,1.08
11460,0.07,-0.00,0.94,28.91,1.44,1.05,0.98
11565,0.07,-0.00,0.95,28.95,1.36,1.13,1.08
11669,0.08,0.00,0.94,28.81,1.21,1.09,0.98
11773,0.08,0.01,0.95,28.86,1.30,0.95,1.01
11878,0.08,0.00,0.95,28.81,1.54,0.95,0.97
11982,0.08,0.01,0.93,28.86,1.42,0.83,0.90
12087,0.07,0.00,0.96,28.86,1.33,1.08,0.94
12192,0.08,0.00,0.94,28.91,1.27,1.02,0.95
12297,0.08,0.01,0.96,28.86,1.46,1.14,0.99
12401,0.08,0.00,0.94,28.91,1.27,0.99,1.15
12506,0.08,0.01,0.94,28.95,1.33,0.89,0.97
12610,0.07,0.00,0.94,28.91,1.30,1.04,1.18
12715,0.07,0.01,0.95,28.77,1.52,1.00,0.91
12819,0.07,0.01,0.96,28.81,1.36,1.00,0.93
12923,0.07,0.01,0.94,28.86,1.32,0.87,0.98
13028,0.07,0.00,0.97,28.81,1.22,1.23,0.89
13132,0.08,0.01,0.95,28.86,1.36,0.98,1.11
13238,0.08,0.00,0.96,28.86,1.36,1.18,0.92
13342,0.08,0.00,0.94,28.95,1.24,1.00,0.86
13447,0.08,0.00,0.95,28.91,1.44,0.85,0.81
13551,0.07,0.00,0.95,28.95,1.46,0.98,0.97
13656,0.08,0.01,0.95,28.91,1.40,0.92,1.07
13760,0.08,0.01,0.96,28.86,1.37,1.09,0.92
13864,0.07,0.00,0.94,28.95,1.40,0.89,0.91
13969,0.08,0.00,0.96,28.95,1.35,1.02,0.90
14073,0.07,0.01,0.95,28.95,1.36,0.98,1.06
14178,0.08,0.00,0.95,29.05,1.34,1.13,1.03
14283,0.07,0.00,0.94,28.81,1.34,0.97,0.87
14388,0.08,-0.00,0.95,28.91,1.37,1.01,0.95
14492,0.08,0.01,0.94,28.81,1.41,0.73,0.89
14597,0.08,0.00,0.95,28.81,1.41,0.83,1.08
14701,0.08,0.00,0.95,28.95,1.34,1.04,1.00
14806,0.08,0.00,0.94,28.86,1.36,1.15,0.94
14910,0.07,0.01,0.96,28.81,1.44,0.88,0.92
15014,0.08,0.00,0.95,28.91,1.27,0.95,1.08
15119,0.08,0.00,0.95,28.86,1.50,0.92,1.15
15223,0.07,0.00,0.95,28.81,1.30,1.01,1.14
15329,0.08,0.00,0.95,28.86,1.40,0.85,1.05
15433,0.08,0.00,0.96,28.91,1.41,0.95,1.13
15538,0.08,0.01,0.95,29.05,1.24,1.04,0.99
15642,0.07,0.00,0.94,28.91,1.32,1.27,1.00
15747,0.08,0.01,0.95,28.91,1.21,1.07,0.93
15851,0.08,0.00,0.96,28.91,1.21,0.89,0.94
15955,0.08,0.01,0.94,28.86,1.18,1.00,1.08
16060,0.08,-0.00,0.96,28.91,1.35,1.11,0.94
16164,0.07,0.01,0.95,28.95,1.34,1.05,0.85
16270,0.08,0.00,0.94,28.91,1.40,0.83,0.98
16374,0.07,0.01,0.96,28.86,1.31,0.89,0.96
16479,0.07,0.01,0.95,28.91,1.44,0.97,0.92
16583,0.08,0.00,0.96,28.91,1.36,0.98,1.18
16688,0.07,0.01,0.94,28.77,1.34,1.02,0.98
16792,0.08,0.00,0.97,28.95,1.54,0.92,0.84
16897,0.08,0.01,0.94,28.91,1.39,0.92,0.98
17001,0.08,0.00,0.95,28.86,1.34,1.19,0.92
17105,0.08,0.01,0.95,28.91,1.42,1.12,0.92
17210,0.08,0.01,0.95,28.81,1.27,0.90,1.11
17315,0.08,0.00,0.96,28.86,1.29,1.00,1.08
17420,0.08,0.01,0.95,28.91,1.23,0.87,1.07
17524,0.08,0.01,0.95,28.77,1.29,0.98,0.99
17629,0.07,0.01,0.95,28.91,1.34,0.98,1.05
17733,0.08,0.00,0.96,28.77,1.37,1.06,0.99
17838,0.08,0.00,0.93,28.91,1.34,1.01,1.11
