87462,0.08,0.01,-0.96,29.09,1.43,1.13,1.02
88467,0.08,-0.00,-0.95,29.14,1.40,0.67,0.92
89472,0.08,0.00,-0.95,29.05,1.36,0.95,1.05
90476,0.08,0.01,-0.97,29.14,1.34,1.06,1.02
91481,0.07,0.01,-0.94,29.05,1.24,0.92,0.98
92485,0.08,0.01,-0.95,29.09,1.33,0.88,0.90
93490,0.07,0.00,-0.96,29.14,1.32,0.97,1.07
94494,0.08,-0.00,-0.95,29.09,1.39,0.92,0.95
95499,0.08,-0.00,-0.95,29.19,1.50,1.01,0.98
96503,0.08,0.00,-0.96,29.14,1.47,1.06,1.00
97508,0.07,0.01,-0.95,29.24,1.23,1.04,0.93
98512,0.09,0.01,-0.94,29.14,1.37,0.82,1.02
99517,0.07,0.00,-0.96,29.19,1.36,1.04,1.06
100521,0.08,0.00,-0.95,29.14,1.18,1.05,0.82
101526,0.07,0.00,-0.94,29.05,1.40,0.92,1.06
102531,0.07,0.01,-0.96,29.09,1.42,1.03,0.91
103535,0.08,0.01,-0.96,29.14,1.45,0.88,0.99
104540,0.07,0.01,-0.94,29.14,1.44,0.91,1.01
105544,0.08,0.01,-0.95,29.19,1.27,1.10,0.90
106549,0.08,0.01,-0.97,29.14,1.24,1.02,1.01
107553,0.08,0.01,-0.94,29.19,1.21,1.00,0.87
108558,0.07,0.01,-0.96,29.09,1.34,0.88,1.02
109562,0.07,0.00,-0.96,29.14,1.32,1.04,1.05
110567,0.08,0.01,-0.94,29.24,1.20,0.95,0.92
111571,0.08,-0.00,-0.96,29.05,1.42,0.92,1.04
112576,0.08,0.00,-0.95,29.05,1.25,0.98,0.98
113581,0.07,0.01,-0.94,29.14,1.31,0.92,0.98
114585,0.08,0.00,-0.96,29.14,1.35,1.06,0.91
115591,0.07,0.01,-0.96,29.14,1.23,0.93,1.08
116595,0.08,0.01,-0.94,29.14,1.14,0.98,0.92
117600,0.08,0.01,-0.95,29.05,1.37,0.89,1.05
118604,0.07,0.01,-0.96,29.00,1.37,1.09,1.01
119609,0.08,0.01,-0.94,29.09,1.15,0.93,1.02
120613,0.08,0.00,-0.96,29.14,1.28,0.90,1.08
121618,0.07,0.00,-0.97,29.05,1.40,0.83,1.01
122622,0.07,0.00,-0.95,29.09,1.23,1.00,0.95
123627,0.08,0.00,-0.96,29.14,1.45,0.92,0.87
124632,0.08,0.01,-0.96,29.09,1.50,1.06,0.96
125636,0.08,-0.00,-0.95,29.09,1.25,0.90,0.92
126641,0.08,0.01,-0.94,29.09,1.34,1.06,0.89
127645,0.07,0.01,-0.96,29.14,1.47,1.00,1.02
128650,0.07,0.01,-0.95,29.09,1.35,0.93,0.90
129654,0.08,-0.00,-0.95,29.09,1.19,1.01,0.80
130659,0.07,0.00,-0.96,29.05,1.43,1.20,0.92
131663,0.07,0.00,-0.94,29.14,1.34,1.11,1.06
132668,0.07,-0.00,-0.95,29.09,1.22,1.02,1.02
133672,0.08,0.01,-0.95,29.24,1.32,0.98,0.95
134677,0.08,0.01,-0.96,29.14,1.41,1.11,0.85
135683,0.08,0.01,-0.94,29.19,1.26,0.98,0.88
136687,0.07,0.01,-0.96,29.09,1.36,1.00,0.98
137692,0.07,0.01,-0.96,29.09,1.31,1.00,1.04
138696,0.07,-0.00,-0.94,29.09,1.25,0.83,1.01
139701,0.08,0.01,-0.96,29.19,1.35,0.96,1.02
140705,0.08,0.01,-0.96,29.14,1.36,1.16,0.96
141710,0.07,0.00,-0.95,29.19,1.33,1.03,0.99
142714,0.07,0.01,-0.95,29.14,1.47,0.89,0.95
143719,0.07,0.01,-0.96,29.14,1.53,1.05,0.99
144723,0.07,0.00,-0.94,29.14,1.34,0.95,0.97
145728,0.08,0.00,-0.96,29.19,1.40,1.03,1.11
146733,0.07,-0.00,-0.95,29.19,1.47,1.11,1.11
147737,0.08,0.00,-0.94,29.14,1.31,1.02,0.98
148742,0.08,-0.00,-0.95,29.19,1.38,0.89,1.05
149746,0.07,0.01,-0.97,29.05,1.34,1.12,0.85
150751,0.07,0.00,-0.94,29.14,1.22,1.13,1.04
151755,0.08,0.01,-0.95,29.24,1.44,0.95,1.00
152760,0.08,0.01,-0.96,29.09,1.32,0.85,0.90
153765,0.08,0.01,-0.94,29.19,1.18,0.90,0.86
154770,0.07,0.01,-0.95,29.19,1.27,1.13,0.93
155774,0.07,0.01,-0.97,29.19,1.44,1.09,0.98
156779,0.08,0.00,-0.94,29.19,1.26,0.90,0.95
157784,0.07,0.00,-0.94,29.09,1.37,0.98,1.01
158788,0.08,0.00,-0.96,29.24,1.27,1.00,0.95
159793,0.07,0.00,-0.95,29.14,1.24,0.92,0.98
160797,0.08,0.00,-0.94,29.19,1.22,0.92,0.98
161802,0.08,0.00,-0.96,29.19,1.29,1.01,0.97
162806,0.08,0.00,-0.95,29.19,1.32,0.90,0.92
163811,0.08,0.00,-0.93,29.19,1.34,0.95,0.91
164815,0.08,0.00,-0.96,29.19,1.44,0.93,1.08
165820,0.07,0.00,-0.95,29.09,1.35,0.95,1.05
166824,0.08,0.00,-0.94,29.24,1.33,0.96,1.18
167829,0.08,0.01,-0.97,29.09,1.24,0.95,0.97
168834,0.08,0.00,-0.96,29.09,1.33,0.92,0.93
169838,0.07,0.00,-0.94,29.00,1.16,0.81,0.87
170843,0.08,0.00,-0.95,29.14,1.45,1.07,0.89
171847,0.08,0.01,-0.96,29.09,1.49,1.02,0.98
172852,0.07,0.00,-0.94,29.05,1.31,0.82,1.18
173857,0.08,0.01,-0.95,29.09,1.21,1.01,0.74
174862,0.07,-0.00,-0.97,29.14,1.31,1.09,1.08
175866,0.08,0.00,-0.95,29.14,1.26,0.91,1.08
176871,0.07,0.00,-0.95,29.14,1.25,0.82,1.00
177875,0.07,0.00,-0.96,29.09,1.25,0.95,0.98
178880,0.07,0.00,-0.95,29.09,1.21,0.93,0.91
179885,0.08,0.00,-0.94,29.05,1.56,0.88,0.84
180889,0.07,0.01,-0.97,29.14,1.29,1.03,1.21
181894,0.08,0.01,-0.95,29.09,1.25,0.93,0.82
182898,0.08,-0.00,-0.94,29.09,1.22,0.98,0.92
183903,0.08,0.00,-0.96,29.14,1.43,1.08,1.15
184907,0.08,0.01,-0.96,29.19,1.44,0.95,0.95
185912,0.08,0.01,-0.94,29.14,1.34,0.87,0.89
186916,0.07,0.01,-0.96,29.00,1.44,0.85,0.91
187921,0.07,0.00,-0.95,29.09,1.28,0.95,0.87
188925,0.08,0.00,-0.95,29.19,1.35,0.92,0.95
189930,0.07,0.01,-0.96,29.14,1.31,0.92,0.87
190935,0.07,0.01,-0.96,29.14,1.31,0.85,0.98
