X,Y,Z
3.0297748359449597,-0.1668993059697856,0.22309898156361435
15.15247891937666,-0.8497099031393164,1.1154949078180716
39.40427010942183,-2.2457281353699368,2.901823086559942
75.78710023348845,-4.370107958573599,5.585156170255138
124.29736455192463,-7.207635999459914,9.165494158903659
184.9295064976706,-10.72794492882654,13.639764400039594
257.6843525268482,-14.931064455362698,19.006430567429987
342.5663338352314,-19.832237661047994,25.263956334841883
439.5771033349404,-25.41631058997048,32.40926904980937
548.71748748185,-31.652886204238587,40.44083238609949
669.980276796533,-38.49632438398116,49.35864634371224
803.3546570599103,-45.88577163603664,59.16271092264762
948.8406282717348,-53.790801213824246,69.85302612290565
1106.44539991131,-62.24183986392476,81.4295919444863
1276.172576718535,-71.28452770620935,93.8924083873896
1458.0257634331856,-80.94929148725878,107.24147545161551
1652.0093912510351,-91.25137428905268,121.47525681093111
1858.1251130843275,-102.19083552896946,136.5906798128705
2076.381791324487,-113.78294799767797,152.58467180496774
2306.7927195585876,-126.04301419453623,169.45262380852395
2549.3603771549956,-138.9711232456119,187.18992684484027
2804.0747763512477,-152.5673048595942,205.79504458768378
3070.9251029287593,-166.83155903648313,225.26797703705444
3349.9033209523514,-181.7638560675895,245.6102605191852
3641.000568030724,-197.36413653553484,266.824967686542
3944.212412968227,-213.63237073162995,288.9136348653578
4259.534424569209,-230.5685289471856,311.8777983818655
4586.95774044237,-248.17255176482334,335.7205308885311
4926.480707675467,-266.4443797671647,360.4449050378204
5278.11248757484,-285.38395353683137,386.0539934821994
5641.862241446707,-304.97600028315446,412.55086887413404
6017.736352313756,-325.1900635508639,439.93706753985725
6405.7464608506925,-346.026173048649,468.21105315313605
6805.900602992942,-367.51478523177974,497.3712893877375
7218.199605196875,-389.6863565555261,527.4162399174286
7642.644293918985,-412.5865568484485,558.3443684159763
8079.227459680584,-436.261026230418,590.1556748833808
8527.93828826321,-460.7249780747251,622.850159319642
8988.772348471215,-485.9783826726805,656.429358050993
9461.727987392354,-512.0211806069059,690.8963437298994
9946.803552114383,-538.8533124600227,726.2541890088274
10444.002647376708,-566.4595648587406,762.5028938877768
10953.334135570258,-594.7943571005668,799.639385714282
11474.806879085838,-623.7968951097182,837.6605918358767
12008.430566770501,-653.4216278923914,876.5619032738623
12554.211282732018,-683.6534312013636,916.3387110495398
13112.149853426634,-714.5075481186143,956.9894788366764
13682.246278854594,-746.0144053907245,998.514206635272
14264.504163755555,-778.1892163909844,1040.9128944453264
14858.930717608693,-811.0471944926844,1084.18554226684
15465.529545153786,-844.6187664424054,1128.3321500998125
16084.296215195427,-878.934329278039,1173.354254270477
16715.225470082092,-914.0242503287872,1219.2549274312992
17358.315656901665,-949.9036835505622,1266.0372422347452
18013.55708680672,-986.5725398172964,1313.705807659514
18680.936466210303,-1024.030730002922,1362.265232684304
19360.44050152547,-1062.2781649813714,1411.7201262878145
20052.04621031772,-1101.299453127219,1462.0797064274432
20755.72978369631,-1141.0639597330594,1513.3547273868205
21471.47710161793,-1181.541139217555,1565.5513344708786
22199.28012814714,-1222.7005351254359,1618.6710640058502
22939.133306717013,-1264.5269935007898,1672.7108433392696
23691.03799132475,-1307.0206925957523,1727.6614545137386
24454.996362423673,-1350.1818403711477,1783.512143245627
25231.00977401087,-1393.9954017058212,1840.253691577537
26019.09039430187,-1438.4311281053272,1897.8768815520707
26819.25234333976,-1483.4891384044224,1956.3755678642963
27631.50365705995,-1529.1998890583773,2015.748214187981
28455.855149681163,-1575.5785934404819,2075.9948205231244
29292.31680896573,-1622.6100084687566,2137.11692319596
30140.890586740567,-1670.2484346059518,2199.1175948589535
31001.575656549183,-1718.448202023507,2261.998371838338
31874.372018391576,-1767.2093107214225,2325.759254134113
32759.281325180236,-1816.5622468636575,2390.3971690938124
33656.311313935425,-1866.5223723669483,2455.9044350862723
34565.47332641682,-1917.089835774741,2522.2733704803277
35486.76984199277,-1968.2647262131034,2589.4993662972793
36420.19808237987,-2020.0470733907246,2657.5808862108947
37365.76525705731,-2072.452090680895,2726.5179302211736
38323.48578498333,-2125.4949914569047,2796.310498328116
39293.36965392026,-2179.1605326367744,2866.9601268579545
40275.41438449961,-2233.4334117211465,2938.4714247893885
41269.605030222054,-2288.298266793284,3010.8520737535828
42275.92581813205,-2343.7244928544706,3084.111291707935
43294.3690112092,-2399.68151461468,3158.2567602836098
44324.93213008489,-2456.138816201263,3233.293088459306
45367.614348302755,-2513.0659411589504,3309.221812561257
46422.414839406425,-2570.432433032472,3386.0444689156952
47489.32917220013,-2628.2230487398483,3463.7625938488536
48568.35456840058,-2686.4530313630585,3542.3746510344995
49659.49906394333,-2745.1680507306633,3621.8791041464
50762.77069476392,-2804.413776671223,3702.2744168583217
51878.171940230975,-2864.220725057386,3783.5559801915665
53005.7052797131,-2924.6194117618006,3865.7191851674347
54145.36433018761,-2985.640293239737,3948.7624954596936
55297.13910389241,-3047.329039319755,4032.684374742111
56461.03125374012,-3109.731349539105,4117.48175036222
57637.04881566591,-3172.847253606476,4203.1530859937875
58825.19704732119,-3236.6311708193753,4289.695308984348
60025.478428073955,-3301.0375501839994,4377.103810355204
61237.89130501171,-3366.035905536389,4465.3816627588185
62462.4315458536,-3431.5956615865166,4554.536547826359
63699.10110242678,-3497.7015455437145,4644.571538210291
64947.906357754066,-3564.3383143260025,4735.488170236846
66208.8492636625,-3631.4754817694215,4827.2895165584905
67481.92538895643,-3699.113018165282,4919.977113501458
68767.1239194175,-3767.2813502601653,5013.550961065747
70064.43764556693,-3836.0109048006516,5108.011059251359
