X,Y,Z
1.2661031250000003,0.0,-1.9926562500000005
6.333581250000002,0.0,-9.963281250000001
16.474668750000003,0.0,-25.901465625000007
31.692431250000006,0.0,-49.80107812500001
51.98380312500001,0.0,-81.66211875000002
77.34265312500001,0.0,-121.49071875000001
107.76898125000002,0.0,-169.28994375000002
143.26585312500004,0.0,-225.06285937500002
183.83326875000006,0.0,-288.815596875
229.47122812500007,0.0,-360.551221875
280.17360000000014,0.0,-440.269734375
335.93118750000014,0.0,-527.971134375
396.7439906250002,0.0,-623.6554218750001
462.61814062500025,0.0,-727.3225968750002
533.5567031250002,0.0,-838.9726593750003
609.5627437500003,0.0,-958.6056093750003
690.6393281250004,0.0,-1086.2245125000004
776.7864562500004,0.0,-1221.8355000000006
868.0102593750004,0.0,-1365.4447031250006
964.3199343750003,0.0,-1517.0613187500005
1065.7154812500003,0.0,-1676.6945437500005
1172.1877031250003,0.0,-1844.3474437500006
1283.7274031250004,0.0,-2020.0200187500006
1400.3284500000004,0.0,-2203.709203125001
1521.9847125000003,0.0,-2395.408865625001
1648.6931250000005,0.0,-2595.1159406250013
1780.4506218750005,0.0,-2802.827362500001
1917.2510718750004,0.0,-3018.5370000000007
2059.094475000001,0.0,-3242.2387218750005
2205.9900281250007,0.0,-3473.9263968750006
2357.946928125001,0.0,-3713.5938937500005
2514.971306250001,0.0,-3961.2381468750004
2677.0723593750013,0.0,-4216.862221875001
2844.2562187500016,0.0,-4480.469184375001
3016.522884375002,0.0,-4752.062100000001
3193.872356250002,0.0,-5031.644034375001
3376.2985031250023,0.0,-5319.214987500001
3563.7921281250024,0.0,-5614.774959375001
3756.3501656250023,0.0,-5918.320884375002
3953.972615625002,0.0,-6229.846631250001
4156.659478125002,0.0,-6549.346068750001
4364.413818750002,0.0,-6876.819196875001
4577.241768750002,0.0,-7212.2721468750005
4795.149459375002,0.0,-7555.711050000001
5018.143021875003,0.0,-7907.145103125001
5246.225521875003,0.0,-8266.583503125
5479.3969593750035,0.0,-8634.029315625
5717.657334375004,0.0,-9009.482540625
5961.009712500005,0.0,-9392.943178125
6209.460225000004,0.0,-9784.411228125
6463.011937500004,0.0,-10183.886690624999
6721.661784375005,0.0,-10591.366499999998
6985.406700000005,0.0,-11006.844524999997
7254.246684375005,0.0,-11430.314634374996
7528.175606250005,0.0,-11861.767631249995
7807.184268750006,0.0,-12301.194318749996
8091.263475000005,0.0,-12748.585499999997
8380.397896875005,0.0,-13203.922781249998
8674.572206250004,0.0,-13667.184703124998
