Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,748.00,7176.00,-13880.00,25.57,176.00,197.00,123.00
187,824.00,7060.00,-14012.00,25.61,177.00,202.00,96.00
292,688.00,7072.00,-13752.00,25.61,179.00,185.00,107.00
397,760.00,7208.00,-13952.00,25.57,218.00,182.00,111.00
502,704.00,7148.00,-13768.00,25.71,193.00,173.00,112.00
608,688.00,7172.00,-13964.00,25.52,179.00,171.00,127.00
712,768.00,7052.00,-13844.00,25.66,165.00,193.00,98.00
818,680.00,7148.00,-14000.00,25.57,158.00,200.00,105.00
922,776.00,7044.00,-13840.00,25.61,179.00,180.00,89.00
1028,784.00,7088.00,-13904.00,25.66,220.00,185.00,100.00
1132,740.00,7168.00,-13936.00,25.52,177.00,196.00,111.00
1238,772.00,7148.00,-13756.00,25.57,177.00,174.00,118.00
1343,876.00,7012.00,-13916.00,25.61,168.00,181.00,84.00
1447,756.00,7168.00,-13972.00,25.57,181.00,180.00,102.00
1553,692.00,7124.00,-13804.00,25.57,190.00,206.00,83.00
1657,748.00,7196.00,-14032.00,25.66,193.00,198.00,92.00
1763,736.00,7176.00,-13772.00,25.61,187.00,198.00,91.00
1868,732.00,7044.00,-14008.00,25.57,177.00,190.00,93.00
1973,796.00,7068.00,-13780.00,25.52,194.00,186.00,105.00
2078,776.00,6972.00,-13944.00,25.61,192.00,179.00,103.00
2183,752.00,7116.00,-13872.00,25.57,194.00,192.00,82.00
2288,744.00,7124.00,-13868.00,25.52,197.00,182.00,75.00
2393,624.00,7304.00,-13720.00,25.47,196.00,181.00,112.00
2498,756.00,7172.00,-13944.00,25.52,182.00,164.00,104.00
2604,712.00,7068.00,-13780.00,25.57,166.00,170.00,88.00
2708,692.00,7176.00,-13780.00,25.52,183.00,188.00,115.00
2813,720.00,7128.00,-13764.00,25.57,152.00,159.00,106.00
2918,808.00,7160.00,-13704.00,25.52,192.00,174.00,132.00
3023,792.00,7164.00,-13736.00,25.57,181.00,169.00,110.00
3129,724.00,7204.00,-13912.00,25.57,188.00,172.00,106.00
3233,736.00,7152.00,-13996.00,25.66,189.00,195.00,129.00
3339,736.00,7084.00,-13900.00,25.57,170.00,153.00,118.00
3444,680.00,7124.00,-13656.00,25.52,184.00,158.00,104.00
3549,744.00,7128.00,-13904.00,25.61,171.00,173.00,96.00
3654,748.00,7132.00,-13784.00,25.52,174.00,175.00,98.00
3759,688.00,7152.00,-13952.00,25.57,185.00,187.00,98.00
3864,804.00,7144.00,-13800.00,25.52,191.00,192.00,124.00
3969,760.00,7128.00,-13828.00,25.57,155.00,179.00,102.00
4074,772.00,7080.00,-13700.00,25.52,170.00,195.00,91.00
4179,704.00,7164.00,-13804.00,25.57,204.00,184.00,109.00
4284,724.00,7204.00,-13772.00,25.61,216.00,174.00,100.00
4389,668.00,7132.00,-13900.00,25.57,166.00,218.00,102.00
4495,740.00,7096.00,-13688.00,25.66,171.00,188.00,99.00
4599,724.00,7144.00,-13872.00,25.61,198.00,179.00,104.00
4705,764.00,7204.00,-13888.00,25.61,173.00,155.00,112.00
4809,620.00,6984.00,-13896.00,25.66,180.00,165.00,121.00
4915,764.00,7028.00,-13948.00,25.52,175.00,208.00,89.00
5020,808.00,7068.00,-13788.00,25.57,179.00,167.00,113.00
5125,640.00,7164.00,-13752.00,25.47,194.00,191.00,127.00
5230,736.00,7196.00,-13744.00,25.61,190.00,218.00,101.00
5335,804.00,7168.00,-13840.00,25.61,170.00,197.00,97.00
5440,780.00,7164.00,-13824.00,25.66,177.00,184.00,115.00
5545,664.00,7108.00,-13652.00,25.61,178.00,177.00,98.00
5650,764.00,7104.00,-13996.00,25.57,167.00,181.00,86.00
5755,656.00,7096.00,-13848.00,25.61,161.00,185.00,92.00
5860,792.00,7128.00,-13812.00,25.57,204.00,184.00,105.00
5965,696.00,7076.00,-13900.00,25.61,185.00,179.00,105.00
6070,784.00,7148.00,-13900.00,25.57,195.00,178.00,97.00
6175,656.00,7108.00,-13872.00,25.57,203.00,190.00,88.00
6281,696.00,7100.00,-13836.00,25.52,179.00,195.00,118.00
6385,732.00,7108.00,-13872.00,25.66,155.00,165.00,94.00
6491,676.00,7080.00,-13712.00,25.61,190.00,186.00,110.00
6595,772.00,7164.00,-13680.00,25.61,199.00,186.00,86.00
6701,748.00,7100.00,-13944.00,25.66,171.00,180.00,85.00
6806,756.00,7164.00,-13780.00,25.61,185.00,175.00,103.00
6910,736.00,7196.00,-13916.00,25.66,158.00,211.00,111.00
7016,764.00,7208.00,-13936.00,25.66,202.00,198.00,120.00
7120,792.00,7076.00,-13964.00,25.52,200.00,171.00,124.00
7226,724.00,7064.00,-13760.00,25.57,198.00,189.00,106.00
7331,660.00,7164.00,-13856.00,25.66,155.00,187.00,111.00
7436,748.00,7168.00,-13768.00,25.61,169.00,158.00,85.00
7541,700.00,7104.00,-13740.00,25.57,172.00,176.00,93.00
7646,732.00,7084.00,-13776.00,25.66,180.00,171.00,107.00
7751,752.00,7124.00,-13800.00,25.61,171.00,199.00,104.00
7857,756.00,7196.00,-13912.00,25.61,198.00,196.00,97.00
7961,712.00,7084.00,-13784.00,25.57,204.00,183.00,101.00
8067,756.00,7104.00,-13712.00,25.61,199.00,173.00,102.00
8171,732.00,7120.00,-13816.00,25.52,172.00,194.00,99.00
8276,856.00,7088.00,-13888.00,25.47,176.00,174.00,119.00
8382,820.00,7156.00,-13892.00,25.61,174.00,172.00,110.00
8486,720.00,7188.00,-13852.00,25.61,186.00,165.00,116.00
8592,652.00,7152.00,-13900.00,25.57,175.00,175.00,110.00
8696,796.00,7132.00,-13780.00,25.66,188.00,180.00,105.00
8802,756.00,7172.00,-13932.00,25.61,181.00,180.00,106.00
8907,728.00,7180.00,-13788.00,25.57,196.00,202.00,103.00
9012,804.00,7176.00,-13860.00,25.57,187.00,186.00,114.00
9117,628.00,7060.00,-13856.00,25.66,163.00,184.00,107.00
9223,792.00,7108.00,-13776.00,25.61,165.00,186.00,94.00
9327,712.00,7184.00,-13640.00,25.66,163.00,181.00,107.00
9433,724.00,7036.00,-13780.00,25.57,187.00,194.00,104.00
9537,740.00,7128.00,-13760.00,25.66,201.00,198.00,104.00
9643,840.00,7108.00,-13892.00,25.57,170.00,196.00,89.00
9748,748.00,7088.00,-13800.00,25.47,185.00,190.00,103.00
9852,772.00,7144.00,-13728.00,25.57,186.00,191.00,83.00
9958,748.00,7096.00,-13812.00,25.57,178.00,184.00,100.00
10062,748.00,7148.00,-13716.00,25.57,163.00,172.00,108.00
10168,732.00,7108.00,-13820.00,25.61,196.00,178.00,107.00
10273,788.00,7224.00,-13868.00,25.57,165.00,186.00,89.00
10378,788.00,7020.00,-13696.00,25.66,160.00,185.00,108.00
10483,708.00,7116.00,-13920.00,25.66,189.00,158.00,99.00
10589,716.00,7084.00,-13864.00,25.71,194.00,209.00,106.00
10693,700.00,7116.00,-13764.00,25.52,167.00,178.00,121.00
10799,812.00,7124.00,-13896.00,25.61,179.00,221.00,98.00
10904,680.00,7056.00,-13700.00,25.61,157.00,204.00,91.00
11009,788.00,7140.00,-13772.00,25.57,206.00,166.00,124.00
11114,804.00,7064.00,-13804.00,25.57,171.00,188.00,102.00
11218,752.00,7148.00,-13976.00,25.57,169.00,192.00,94.00
