Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27716,916.00,-880.00,-15552.00,25.52,188.00,177.00,122.00
27822,788.00,-1024.00,-15512.00,25.57,179.00,178.00,126.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,736.00,-960.00,-15540.00,25.61,205.00,171.00,87.00
186,836.00,-1004.00,-15452.00,25.52,157.00,177.00,127.00
291,800.00,-936.00,-15496.00,25.52,184.00,210.00,102.00
396,868.00,-992.00,-15692.00,25.61,153.00,158.00,83.00
501,816.00,-960.00,-15528.00,25.57,186.00,197.00,112.00
606,784.00,-1008.00,-15648.00,25.61,179.00,194.00,84.00
711,896.00,-952.00,-15620.00,25.61,193.00,199.00,104.00
816,816.00,-940.00,-15624.00,25.66,169.00,196.00,91.00
921,860.00,-952.00,-15572.00,25.61,164.00,187.00,103.00
1027,804.00,-1048.00,-15508.00,25.57,180.00,178.00,113.00
1131,824.00,-860.00,-15524.00,25.61,199.00,174.00,95.00
1236,840.00,-964.00,-15516.00,25.57,187.00,200.00,111.00
1341,820.00,-896.00,-15500.00,25.61,177.00,178.00,122.00
1446,780.00,-852.00,-15536.00,25.61,184.00,161.00,103.00
1551,784.00,-908.00,-15696.00,25.66,188.00,183.00,115.00
1656,824.00,-892.00,-15556.00,25.52,177.00,187.00,117.00
1762,836.00,-876.00,-15536.00,25.57,181.00,205.00,102.00
1866,856.00,-832.00,-15424.00,25.57,169.00,194.00,91.00
1972,768.00,-960.00,-15584.00,25.57,181.00,180.00,119.00
2076,788.00,-908.00,-15560.00,25.57,167.00,166.00,102.00
2182,840.00,-960.00,-15536.00,25.52,184.00,176.00,122.00
2286,888.00,-900.00,-15524.00,25.57,189.00,172.00,89.00
2392,860.00,-984.00,-15608.00,25.57,194.00,162.00,110.00
2496,868.00,-976.00,-15588.00,25.52,176.00,188.00,117.00
2601,848.00,-948.00,-15428.00,25.52,186.00,192.00,123.00
2707,880.00,-904.00,-15636.00,25.57,188.00,167.00,101.00
2811,816.00,-984.00,-15720.00,25.52,178.00,183.00,78.00
2917,768.00,-920.00,-15508.00,25.61,178.00,165.00,99.00
3021,740.00,-976.00,-15624.00,25.57,160.00,153.00,75.00
3127,724.00,-956.00,-15596.00,25.61,183.00,175.00,108.00
3231,768.00,-924.00,-15548.00,25.66,167.00,176.00,90.00
3337,916.00,-984.00,-15524.00,25.47,197.00,195.00,90.00
3441,888.00,-964.00,-15548.00,25.61,182.00,199.00,85.00
3547,784.00,-924.00,-15656.00,25.66,188.00,165.00,91.00
3651,772.00,-948.00,-15588.00,25.61,192.00,180.00,116.00
3757,840.00,-1012.00,-15568.00,25.57,186.00,161.00,111.00
3862,824.00,-924.00,-15448.00,25.61,177.00,202.00,104.00
3966,840.00,-1016.00,-15696.00,25.57,170.00,174.00,122.00
4072,884.00,-972.00,-15460.00,25.57,174.00,182.00,109.00
4176,836.00,-940.00,-15572.00,25.61,189.00,177.00,101.00
