Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
29401,644.00,14352.00,-6884.00,25.57,161.00,181.00,81.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,636.00,14212.00,-6808.00,25.66,175.00,201.00,99.00
186,512.00,14216.00,-6700.00,25.61,180.00,196.00,84.00
291,464.00,14244.00,-7004.00,25.61,157.00,174.00,111.00
396,612.00,14232.00,-6860.00,25.57,180.00,147.00,89.00
501,580.00,14240.00,-6996.00,25.61,162.00,199.00,118.00
607,580.00,14296.00,-6984.00,25.57,201.00,184.00,96.00
711,632.00,14188.00,-6856.00,25.52,173.00,198.00,125.00
817,460.00,14300.00,-6648.00,25.66,170.00,162.00,114.00
921,584.00,14404.00,-6516.00,25.52,190.00,137.00,124.00
1027,488.00,14380.00,-6592.00,25.57,159.00,166.00,118.00
1131,560.00,14232.00,-6812.00,25.57,180.00,209.00,106.00
1236,572.00,14380.00,-6796.00,25.52,179.00,180.00,94.00
1342,552.00,14356.00,-6676.00,25.66,147.00,187.00,101.00
1446,652.00,14296.00,-6884.00,25.57,194.00,180.00,88.00
1552,684.00,14360.00,-6716.00,25.52,195.00,206.00,81.00
1656,444.00,14464.00,-6724.00,25.57,243.00,239.00,139.00
1762,484.00,14196.00,-6864.00,25.61,213.00,175.00,106.00
1867,540.00,14212.00,-6848.00,25.52,184.00,193.00,97.00
1972,528.00,14252.00,-6936.00,25.57,176.00,176.00,97.00
2077,536.00,14284.00,-6784.00,25.61,183.00,184.00,83.00
2182,504.00,14324.00,-6696.00,25.57,185.00,183.00,109.00
2287,544.00,14304.00,-6976.00,25.61,174.00,189.00,132.00
2392,520.00,14252.00,-6836.00,25.61,183.00,181.00,128.00
2497,608.00,14324.00,-6944.00,25.57,181.00,170.00,124.00
2603,612.00,14288.00,-6936.00,25.61,200.00,184.00,107.00
2707,472.00,14264.00,-6604.00,25.61,165.00,187.00,98.00
2812,628.00,14328.00,-6832.00,25.57,186.00,163.00,134.00
2918,592.00,14244.00,-6884.00,25.61,164.00,187.00,105.00
3022,556.00,14236.00,-6796.00,25.52,169.00,185.00,108.00
3128,640.00,14460.00,-6848.00,25.57,183.00,197.00,99.00
3232,660.00,14336.00,-7068.00,25.61,197.00,196.00,113.00
3338,652.00,14272.00,-6756.00,25.61,166.00,168.00,92.00
3442,448.00,14200.00,-6732.00,25.66,184.00,182.00,107.00
3548,564.00,14340.00,-6956.00,25.61,189.00,185.00,96.00
3653,564.00,14140.00,-6876.00,25.52,195.00,192.00,116.00
3758,484.00,14276.00,-6884.00,25.52,179.00,189.00,110.00
3863,580.00,14256.00,-6768.00,25.52,188.00,192.00,108.00
3969,672.00,14328.00,-6924.00,25.52,163.00,131.00,119.00
4073,584.00,14252.00,-6804.00,25.61,173.00,158.00,105.00
4178,576.00,14248.00,-6820.00,25.52,178.00,191.00,135.00
4283,588.00,14288.00,-6812.00,25.61,171.00,194.00,115.00
4388,744.00,14364.00,-6896.00,25.57,177.00,173.00,109.00
4494,596.00,14288.00,-6752.00,25.57,180.00,152.00,95.00
4598,512.00,14260.00,-6724.00,25.61,212.00,183.00,97.00
4704,540.00,14188.00,-6808.00,25.57,163.00,156.00,112.00
4808,540.00,14328.00,-6824.00,25.61,222.00,171.00,137.00
4914,528.00,14364.00,-6984.00,25.52,179.00,181.00,111.00
5019,592.00,14260.00,-6860.00,25.57,169.00,175.00,109.00
5124,660.00,14304.00,-7036.00,25.61,185.00,172.00,104.00
5229,520.00,14392.00,-6940.00,25.71,154.00,168.00,94.00
5334,560.00,14284.00,-6900.00,25.57,210.00,164.00,82.00
5439,512.00,14076.00,-6864.00,25.52,181.00,190.00,141.00
5544,576.00,14336.00,-6792.00,25.57,186.00,192.00,107.00
5649,704.00,14560.00,-6892.00,25.61,190.00,161.00,93.00
5754,556.00,14272.00,-6956.00,25.57,194.00,151.00,117.00
5859,660.00,14376.00,-6896.00,25.71,169.00,197.00,124.00
5964,632.00,14240.00,-6908.00,25.61,188.00,195.00,114.00
6070,588.00,14252.00,-6944.00,25.47,167.00,213.00,80.00
6174,536.00,14304.00,-6808.00,25.61,192.00,202.00,121.00
6280,664.00,14328.00,-6916.00,25.47,201.00,185.00,101.00
6384,472.00,14320.00,-6720.00,25.66,175.00,197.00,105.00
6490,588.00,14288.00,-6852.00,25.52,202.00,174.00,106.00
6595,532.00,14256.00,-6700.00,25.57,201.00,160.00,104.00
6700,568.00,14156.00,-6736.00,25.57,196.00,199.00,88.00
6805,480.00,14228.00,-6792.00,25.61,161.00,180.00,108.00
6909,520.00,14304.00,-6860.00,25.66,156.00,203.00,88.00
7015,604.00,14324.00,-6932.00,25.52,161.00,173.00,117.00
7120,624.00,14304.00,-6924.00,25.57,201.00,129.00,106.00
7225,728.00,14276.00,-6940.00,25.57,187.00,211.00,113.00
7330,580.00,14392.00,-6824.00,25.61,195.00,185.00,108.00
7435,724.00,14360.00,-6860.00,25.52,202.00,167.00,83.00
7540,580.00,14272.00,-6988.00,25.57,178.00,174.00,113.00
7646,644.00,14232.00,-6780.00,25.61,180.00,178.00,92.00
7750,596.00,14300.00,-6660.00,25.57,154.00,182.00,101.00
7856,512.00,14308.00,-6932.00,25.57,177.00,178.00,103.00
7960,536.00,14316.00,-6972.00,25.61,207.00,193.00,114.00
8066,508.00,14168.00,-6964.00,25.52,190.00,173.00,126.00
8171,488.00,14388.00,-6912.00,25.57,189.00,158.00,94.00
8275,536.00,14292.00,-6824.00,25.61,171.00,154.00,106.00
8381,512.00,14328.00,-6792.00,25.57,164.00,159.00,87.00
8485,552.00,14388.00,-6976.00,25.57,177.00,170.00,114.00
8591,596.00,14320.00,-6648.00,25.61,165.00,155.00,108.00
8696,576.00,14304.00,-6980.00,25.61,179.00,190.00,92.00
8801,556.00,14368.00,-7004.00,25.57,186.00,193.00,96.00
8906,552.00,14212.00,-6940.00,25.61,174.00,173.00,90.00
9011,552.00,14220.00,-6988.00,25.52,193.00,176.00,93.00
9116,480.00,14320.00,-6668.00,25.61,203.00,192.00,102.00
9222,628.00,14384.00,-6908.00,25.61,169.00,174.00,108.00
9326,608.00,14332.00,-6932.00,25.61,188.00,211.00,83.00
9432,596.00,14400.00,-6768.00,25.57,175.00,212.00,98.00
9536,576.00,14296.00,-6768.00,25.61,151.00,190.00,92.00
9641,608.00,14312.00,-6764.00,25.52,163.00,178.00,87.00
9746,584.00,14244.00,-6884.00,25.61,183.00,182.00,126.00
9851,524.00,14300.00,-6920.00,25.61,175.00,207.00,106.00
9957,600.00,14308.00,-6940.00,25.61,201.00,152.00,125.00
10061,568.00,14180.00,-6820.00,25.61,198.00,185.00,85.00
10167,552.00,14252.00,-6840.00,25.66,167.00,185.00,117.00
10272,620.00,14168.00,-6640.00,25.57,192.00,159.00,110.00
10377,524.00,14380.00,-6984.00,25.52,176.00,162.00,114.00
10482,528.00,14328.00,-6848.00,25.47,164.00,173.00,93.00
10588,640.00,14420.00,-6860.00,25.66,158.00,172.00,112.00
10692,724.00,14304.00,-6884.00,25.57,193.00,171.00,107.00
10798,428.00,14284.00,-6872.00,25.57,176.00,165.00,100.00
10903,528.00,14276.00,-6812.00,25.57,177.00,171.00,109.00
11008,644.00,14276.00,-6840.00,25.57,174.00,166.00,110.00
11113,504.00,14344.00,-6868.00,25.57,197.00,161.00,94.00
11217,488.00,14244.00,-7016.00,25.61,178.00,186.00,81.00
11323,576.00,14300.00,-6792.00,25.52,191.00,163.00,111.00
11428,660.00,14276.00,-6964.00,25.61,159.00,201.00,111.00
11533,584.00,14328.00,-6868.00,25.57,186.00,171.00,109.00
11638,604.00,14272.00,-6876.00,25.57,186.00,181.00,93.00
11744,520.00,14232.00,-6912.00,25.66,168.00,173.00,98.00
11848,636.00,14288.00,-6836.00,25.61,180.00,177.00,106.00
11954,676.00,14240.00,-7052.00,25.57,191.00,158.00,87.00
12059,488.00,14296.00,-6832.00,25.66,171.00,185.00,90.00
12164,536.00,14272.00,-6868.00,25.52,197.00,193.00,96.00
12269,524.00,14336.00,-6716.00,25.66,166.00,196.00,90.00
12374,616.00,14296.00,-6940.00,25.57,176.00,170.00,111.00
12479,480.00,15968.00,-6284.00,25.61,-62.00,116.00,53.00
12584,636.00,14180.00,-6996.00,25.52,173.00,177.00,122.00
12689,596.00,14216.00,-6800.00,25.52,166.00,172.00,113.00
