Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
24672,688.00,12264.00,-9824.00,25.61,163.00,.47,190.00
24567,664.00,12380.00,-9732.00,25.52,178.00,185.00,84.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,652.00,12288.00,-9756.00,25.57,167.00,196.00,86.00
186,592.00,12372.00,-9792.00,25.57,190.00,180.00,102.00
291,620.00,12288.00,-9768.00,25.61,154.00,150.00,119.00
396,688.00,12388.00,-9684.00,25.52,172.00,182.00,108.00
501,596.00,12284.00,-9636.00,25.57,157.00,195.00,114.00
607,844.00,12284.00,-9904.00,25.52,206.00,183.00,99.00
711,656.00,12152.00,-9756.00,25.47,176.00,157.00,100.00
817,652.00,12216.00,-9816.00,25.52,184.00,185.00,102.00
921,700.00,12356.00,-9836.00,25.57,191.00,191.00,97.00
1027,708.00,12328.00,-9884.00,25.57,198.00,176.00,101.00
1131,636.00,12224.00,-9656.00,25.52,183.00,165.00,114.00
1236,700.00,12260.00,-9656.00,25.71,185.00,190.00,115.00
1342,616.00,12416.00,-9824.00,25.57,203.00,192.00,107.00
1446,712.00,12288.00,-9684.00,25.61,169.00,181.00,107.00
1552,816.00,12308.00,-9652.00,25.61,184.00,155.00,98.00
1656,736.00,12300.00,-9860.00,25.47,200.00,191.00,102.00
1762,732.00,12344.00,-9712.00,25.61,167.00,198.00,104.00
1867,628.00,12384.00,-9772.00,25.52,199.00,161.00,113.00
1972,672.00,12264.00,-9696.00,25.47,189.00,194.00,111.00
2077,616.00,12376.00,-9676.00,25.47,184.00,204.00,124.00
2182,632.00,12284.00,-9808.00,25.52,182.00,197.00,93.00
2287,716.00,12408.00,-9704.00,25.52,189.00,168.00,114.00
2393,588.00,12316.00,-9772.00,25.52,163.00,183.00,122.00
2497,616.00,12292.00,-9800.00,25.61,172.00,158.00,115.00
2603,768.00,12224.00,-9728.00,25.52,183.00,203.00,114.00
2708,668.00,12256.00,-9796.00,25.57,182.00,193.00,108.00
2812,608.00,12280.00,-9692.00,25.52,179.00,192.00,105.00
2918,680.00,12276.00,-9724.00,25.57,196.00,170.00,111.00
3022,600.00,12340.00,-9696.00,25.66,212.00,189.00,112.00
3128,668.00,12248.00,-9696.00,25.57,183.00,204.00,109.00
3233,636.00,12372.00,-9676.00,25.52,197.00,170.00,112.00
3338,680.00,12316.00,-9664.00,25.66,167.00,169.00,112.00
3443,648.00,12280.00,-9668.00,25.61,165.00,192.00,107.00
3548,620.00,12296.00,-9836.00,25.52,188.00,157.00,102.00
3653,596.00,12320.00,-9744.00,25.57,188.00,181.00,82.00
3759,580.00,12248.00,-9784.00,25.47,200.00,196.00,107.00
3863,664.00,12308.00,-9732.00,25.57,186.00,155.00,86.00
3969,692.00,12416.00,-9728.00,25.52,182.00,208.00,104.00
4073,704.00,12196.00,-9812.00,25.57,208.00,172.00,105.00
4178,724.00,12288.00,-9756.00,25.42,181.00,168.00,119.00
4284,740.00,12300.00,-9716.00,25.61,160.00,150.00,75.00
4388,652.00,12228.00,-9712.00,25.57,165.00,169.00,90.00
4494,624.00,12276.00,-9652.00,25.61,184.00,179.00,90.00
4598,656.00,12292.00,-9836.00,25.66,159.00,176.00,109.00
4704,708.00,12292.00,-9800.00,25.52,176.00,183.00,121.00
4809,632.00,12316.00,-9800.00,25.52,185.00,177.00,97.00
4914,648.00,12164.00,-9764.00,25.57,156.00,165.00,93.00
5019,560.00,12292.00,-9828.00,25.52,222.00,185.00,108.00
5124,496.00,12248.00,-9684.00,25.57,183.00,178.00,81.00
5229,684.00,12276.00,-9952.00,25.52,176.00,171.00,91.00
5334,596.00,12292.00,-9728.00,25.57,160.00,194.00,117.00
5439,736.00,12328.00,-9916.00,25.57,169.00,206.00,125.00
5544,612.00,12260.00,-9800.00,25.61,185.00,197.00,96.00
5649,660.00,12332.00,-9764.00,25.47,193.00,171.00,101.00
5754,620.00,12388.00,-9756.00,25.66,187.00,202.00,103.00
5860,656.00,12296.00,-9804.00,25.52,190.00,184.00,108.00
5964,588.00,12276.00,-9736.00,25.47,182.00,173.00,98.00
6070,736.00,12260.00,-9716.00,25.52,156.00,191.00,100.00
6174,596.00,12328.00,-9848.00,25.57,192.00,159.00,106.00
6280,628.00,12304.00,-9728.00,25.47,163.00,181.00,106.00
6385,708.00,12324.00,-9876.00,25.61,166.00,198.00,98.00
6490,664.00,12324.00,-9876.00,25.57,195.00,187.00,91.00
6595,532.00,12272.00,-9764.00,25.57,189.00,169.00,112.00
6700,576.00,12332.00,-9660.00,25.52,204.00,156.00,106.00
6805,672.00,12352.00,-9684.00,25.47,172.00,165.00,84.00
6909,788.00,12280.00,-9784.00,25.52,203.00,170.00,120.00
7015,704.00,12368.00,-9824.00,25.47,197.00,197.00,98.00
7120,640.00,12268.00,-9732.00,25.42,173.00,189.00,96.00
7225,640.00,12432.00,-9756.00,25.57,173.00,174.00,100.00
7330,648.00,12344.00,-9692.00,25.47,204.00,193.00,84.00
7435,648.00,12324.00,-9848.00,25.52,170.00,183.00,87.00
7540,684.00,12292.00,-9712.00,25.57,178.00,189.00,108.00
7646,596.00,12416.00,-9796.00,25.52,183.00,195.00,132.00
7750,684.00,12324.00,-9832.00,25.61,181.00,195.00,118.00
7856,664.00,12248.00,-9736.00,25.47,183.00,177.00,97.00
7960,684.00,12288.00,-9828.00,25.61,164.00,168.00,112.00
8066,572.00,12208.00,-9764.00,25.61,189.00,185.00,108.00
8171,648.00,12324.00,-9780.00,25.57,188.00,200.00,118.00
8275,548.00,12332.00,-9816.00,25.47,173.00,189.00,113.00
8381,640.00,12316.00,-9796.00,25.52,184.00,185.00,105.00
8485,648.00,12340.00,-9776.00,25.57,183.00,202.00,106.00
8591,836.00,12184.00,-9664.00,25.57,207.00,177.00,114.00
8696,688.00,12284.00,-9880.00,25.47,239.00,202.00,77.00
8801,612.00,12308.00,-9816.00,25.52,206.00,193.00,85.00
8906,696.00,12436.00,-9732.00,25.52,196.00,194.00,99.00
9011,728.00,12352.00,-9756.00,25.57,171.00,211.00,70.00
9116,616.00,12300.00,-9792.00,25.47,149.00,197.00,107.00
9222,624.00,12340.00,-9760.00,25.47,171.00,181.00,120.00
9326,632.00,12380.00,-9748.00,25.57,164.00,187.00,102.00
9432,684.00,12328.00,-9600.00,25.47,180.00,164.00,81.00
9536,600.00,12300.00,-9744.00,25.66,196.00,178.00,98.00
9641,584.00,12244.00,-9876.00,25.61,136.00,170.00,95.00
9747,608.00,12192.00,-9796.00,25.57,188.00,192.00,88.00
9851,648.00,12296.00,-9688.00,25.52,186.00,191.00,122.00
9957,688.00,12228.00,-9784.00,25.57,164.00,195.00,105.00
10061,604.00,12336.00,-9960.00,25.47,165.00,183.00,109.00
10167,652.00,12260.00,-9616.00,25.57,162.00,185.00,95.00
10272,736.00,12352.00,-9808.00,25.61,179.00,182.00,84.00
10377,660.00,12260.00,-9592.00,25.61,191.00,180.00,80.00
10482,732.00,12324.00,-9848.00,25.47,185.00,186.00,118.00
10588,620.00,12400.00,-9700.00,25.47,196.00,191.00,110.00
10692,620.00,12312.00,-9796.00,25.52,186.00,197.00,119.00
10798,624.00,12324.00,-9756.00,25.52,172.00,178.00,95.00
10902,644.00,12360.00,-9808.00,25.57,179.00,163.00,95.00
11008,644.00,12192.00,-9736.00,25.47,158.00,206.00,119.00
11113,644.00,12248.00,-9928.00,25.52,197.00,193.00,132.00
11217,736.00,12284.00,-9812.00,25.61,206.00,185.00,102.00
11323,684.00,12300.00,-9748.00,25.61,172.00,175.00,115.00
11428,680.00,12428.00,-9896.00,25.61,211.00,191.00,120.00
11533,616.00,12280.00,-9852.00,25.52,193.00,195.00,123.00
11638,624.00,12340.00,-9724.00,25.57,173.00,181.00,100.00
11744,656.00,12276.00,-9828.00,25.57,170.00,163.00,100.00
11848,584.00,12328.00,-9828.00,25.57,147.00,184.00,120.00
11954,700.00,12320.00,-9792.00,25.47,180.00,178.00,116.00
12059,700.00,12304.00,-9760.00,25.57,174.00,185.00,118.00
12164,652.00,12292.00,-9756.00,25.52,173.00,174.00,113.00
12269,692.00,12464.00,-9832.00,25.61,199.00,188.00,111.00
12375,576.00,12360.00,-9872.00,25.52,207.00,187.00,92.00
12479,644.00,12332.00,-9588.00,25.57,207.00,176.00,96.00
