Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
20046,712.00,14860.00,-5792.00,25.47,396.00,166.00,89.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,592.00,14644.00,-5988.00,25.57,180.00,175.00,97.00
186,612.00,14656.00,-6028.00,25.57,171.00,181.00,107.00
291,-204.00,12944.00,-8664.00,25.52,-318.00,910.00,204.00
396,384.00,14984.00,-5932.00,25.57,23.00,211.00,97.00
501,644.00,14576.00,-6188.00,25.57,224.00,168.00,105.00
607,572.00,14672.00,-6108.00,25.52,280.00,236.00,92.00
711,516.00,14612.00,-6120.00,25.57,185.00,191.00,101.00
817,640.00,14652.00,-5820.00,25.61,203.00,163.00,114.00
921,564.00,14764.00,-6136.00,25.47,132.00,188.00,126.00
1027,604.00,14728.00,-6048.00,25.61,231.00,208.00,130.00
1131,584.00,14736.00,-6092.00,25.47,168.00,187.00,97.00
1236,652.00,14716.00,-6060.00,25.52,185.00,187.00,110.00
1342,620.00,14740.00,-5956.00,25.52,184.00,205.00,115.00
1446,632.00,14668.00,-6156.00,25.57,202.00,179.00,123.00
1552,596.00,14820.00,-6060.00,25.57,196.00,203.00,102.00
1656,612.00,14732.00,-6204.00,25.61,218.00,158.00,125.00
1762,572.00,14732.00,-6248.00,25.66,175.00,189.00,113.00
1867,564.00,14620.00,-6008.00,25.57,152.00,202.00,94.00
1972,608.00,14708.00,-6188.00,25.61,183.00,165.00,112.00
2077,592.00,14652.00,-6208.00,25.57,197.00,180.00,114.00
2182,636.00,14732.00,-6008.00,25.52,186.00,179.00,118.00
2287,608.00,14732.00,-5972.00,25.52,208.00,179.00,84.00
2393,628.00,14668.00,-5948.00,25.57,200.00,187.00,101.00
2497,600.00,14608.00,-6052.00,25.52,174.00,181.00,107.00
2603,608.00,14832.00,-6056.00,25.61,159.00,171.00,89.00
2707,556.00,14744.00,-6152.00,25.57,141.00,189.00,108.00
2812,620.00,14716.00,-5968.00,25.57,185.00,182.00,102.00
2918,636.00,14664.00,-5988.00,25.57,169.00,203.00,90.00
3022,556.00,14612.00,-6056.00,25.57,171.00,162.00,101.00
3128,700.00,14824.00,-6000.00,25.66,207.00,184.00,117.00
3232,664.00,14660.00,-6020.00,25.66,200.00,166.00,102.00
3338,556.00,14648.00,-5932.00,25.66,191.00,200.00,102.00
3443,672.00,14696.00,-6040.00,25.57,193.00,176.00,123.00
3548,692.00,14640.00,-5972.00,25.57,166.00,191.00,118.00
3653,604.00,14708.00,-6104.00,25.52,180.00,183.00,107.00
3759,556.00,14676.00,-6056.00,25.66,172.00,169.00,91.00
3863,536.00,14692.00,-6040.00,25.52,167.00,206.00,99.00
3969,616.00,14768.00,-6060.00,25.57,196.00,163.00,84.00
4073,676.00,14616.00,-5976.00,25.52,199.00,169.00,123.00
4178,600.00,14652.00,-6116.00,25.57,192.00,189.00,81.00
4283,660.00,14712.00,-6060.00,25.52,184.00,190.00,81.00
4388,576.00,14768.00,-6072.00,25.52,169.00,189.00,64.00
4494,564.00,14600.00,-5976.00,25.57,178.00,162.00,129.00
4598,524.00,14728.00,-6072.00,25.61,190.00,185.00,120.00
4704,628.00,14700.00,-6040.00,25.61,163.00,189.00,99.00
