Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
23833,724.023,684.00,10772.00,-11360.00,25.52,174.00,216.00
23728,660.00,10784.00,-11520.00,25.52,186.00,159.00,126.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,636.00,10900.00,-11356.00,25.52,194.00,169.00,72.00
187,668.00,10784.00,-11276.00,25.47,185.00,207.00,136.00
292,704.00,10764.00,-11308.00,25.66,190.00,146.00,88.00
398,704.00,10776.00,-11304.00,25.61,194.00,183.00,95.00
502,708.00,10860.00,-11288.00,25.57,189.00,186.00,110.00
608,768.00,10832.00,-11192.00,25.52,202.00,187.00,94.00
712,820.00,10792.00,-11568.00,25.57,165.00,185.00,108.00
818,760.00,10796.00,-11436.00,25.52,185.00,210.00,128.00
922,748.00,10800.00,-11288.00,25.47,173.00,184.00,104.00
1028,696.00,10740.00,-11472.00,25.57,175.00,186.00,106.00
1133,736.00,11000.00,-11436.00,25.61,175.00,191.00,98.00
1238,616.00,10796.00,-11308.00,25.61,190.00,190.00,106.00
1343,648.00,10792.00,-11364.00,25.47,209.00,195.00,101.00
1448,704.00,10824.00,-11256.00,25.47,205.00,179.00,99.00
1553,708.00,10880.00,-11052.00,25.52,211.00,190.00,119.00
1658,588.00,10852.00,-11440.00,25.52,191.00,200.00,78.00
1764,716.00,10764.00,-11328.00,25.42,192.00,175.00,106.00
1868,680.00,10824.00,-11344.00,25.52,209.00,176.00,105.00
1974,652.00,10716.00,-11188.00,25.61,172.00,164.00,113.00
2079,724.00,10908.00,-11312.00,25.57,170.00,177.00,100.00
2184,688.00,10876.00,-11188.00,25.57,204.00,194.00,101.00
2289,660.00,10764.00,-11332.00,25.57,199.00,175.00,111.00
2395,720.00,10796.00,-11324.00,25.52,186.00,178.00,100.00
2499,732.00,10792.00,-11196.00,25.61,178.00,160.00,129.00
2605,640.00,10788.00,-11284.00,25.52,182.00,178.00,140.00
2709,756.00,10892.00,-11284.00,25.57,168.00,181.00,110.00
2814,704.00,10796.00,-11372.00,25.57,166.00,179.00,110.00
2920,780.00,10892.00,-11308.00,25.47,198.00,183.00,96.00
3024,676.00,10772.00,-11336.00,25.47,192.00,160.00,115.00
3130,692.00,10868.00,-11252.00,25.57,180.00,178.00,83.00
3235,716.00,10848.00,-11352.00,25.61,172.00,167.00,113.00
3340,660.00,10948.00,-11296.00,25.47,173.00,185.00,101.00
3445,672.00,10736.00,-11392.00,25.47,201.00,189.00,87.00
3551,692.00,10852.00,-11240.00,25.47,196.00,178.00,93.00
3655,732.00,10896.00,-11456.00,25.57,206.00,212.00,114.00
