Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
28139,604.00,15372.00,-4196.00,25.47,240.00,183.00,112.00
28244,564.00,15360.00,-4244.00,25.57,122.00,148.00,92.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,548.00,15420.00,-4288.00,25.57,181.00,165.00,95.00
186,512.00,15340.00,-4340.00,25.61,152.00,184.00,91.00
291,520.00,15380.00,-4012.00,25.57,163.00,171.00,100.00
396,604.00,15468.00,-4620.00,25.57,149.00,188.00,111.00
501,444.00,15392.00,-4360.00,25.61,180.00,189.00,117.00
607,540.00,15348.00,-4316.00,25.57,198.00,166.00,100.00
711,536.00,15320.00,-4360.00,25.52,182.00,197.00,89.00
817,508.00,15400.00,-4384.00,25.57,172.00,195.00,112.00
921,640.00,15412.00,-4296.00,25.61,193.00,192.00,105.00
1027,548.00,15396.00,-4220.00,25.57,176.00,163.00,110.00
1131,564.00,15272.00,-4360.00,25.52,177.00,188.00,103.00
1236,548.00,15424.00,-4260.00,25.52,190.00,153.00,100.00
1342,564.00,15404.00,-4336.00,25.57,167.00,193.00,101.00
1446,456.00,15456.00,-4268.00,25.57,168.00,190.00,114.00
1552,584.00,15464.00,-4368.00,25.52,191.00,202.00,87.00
1656,608.00,15308.00,-4284.00,25.57,180.00,216.00,105.00
1762,604.00,15396.00,-4244.00,25.52,189.00,157.00,92.00
1867,488.00,15376.00,-4320.00,25.57,183.00,203.00,81.00
1972,640.00,15352.00,-4336.00,25.61,168.00,193.00,106.00
2077,580.00,15456.00,-4248.00,25.52,198.00,200.00,105.00
2182,532.00,15256.00,-4248.00,25.61,171.00,200.00,99.00
2287,556.00,15412.00,-4404.00,25.57,191.00,168.00,114.00
2393,544.00,15436.00,-4380.00,25.52,182.00,183.00,95.00
2497,588.00,15472.00,-4352.00,25.61,195.00,196.00,103.00
2603,496.00,15508.00,-4428.00,25.52,204.00,168.00,132.00
2707,484.00,15468.00,-4328.00,25.57,221.00,189.00,116.00
2812,584.00,15336.00,-4288.00,25.57,208.00,202.00,116.00
2918,512.00,15364.00,-4188.00,25.52,190.00,188.00,103.00
3022,616.00,15408.00,-4376.00,25.52,180.00,166.00,102.00
3128,532.00,15412.00,-4360.00,25.47,195.00,184.00,85.00
3232,476.00,15472.00,-4224.00,25.52,180.00,193.00,103.00
3338,588.00,15336.00,-4232.00,25.57,179.00,201.00,91.00
3443,512.00,15288.00,-4296.00,25.52,209.00,177.00,133.00
3548,512.00,15336.00,-4348.00,25.52,198.00,164.00,103.00
3653,544.00,15320.00,-4436.00,25.52,192.00,181.00,102.00
3758,444.00,15384.00,-4516.00,25.52,172.00,196.00,108.00
3863,524.00,15352.00,-4228.00,25.57,186.00,195.00,94.00
3969,588.00,15364.00,-4380.00,25.61,191.00,171.00,105.00
4073,508.00,15300.00,-4532.00,25.47,213.00,207.00,100.00
4178,584.00,15288.00,-4356.00,25.52,155.00,183.00,84.00
4283,508.00,15352.00,-4276.00,25.57,186.00,177.00,99.00
4388,528.00,15408.00,-4412.00,25.57,194.00,177.00,119.00
4494,552.00,15412.00,-4348.00,25.61,173.00,195.00,116.00
4598,656.00,15332.00,-4392.00,25.61,177.00,161.00,96.00
4704,516.00,15420.00,-4448.00,25.61,149.00,191.00,103.00
4808,556.00,15464.00,-4520.00,25.57,160.00,156.00,118.00
4914,548.00,15412.00,-4312.00,25.57,192.00,199.00,111.00
5019,496.00,15384.00,-4268.00,25.57,187.00,177.00,84.00
5124,632.00,15352.00,-4400.00,25.61,166.00,179.00,83.00
5229,504.00,15312.00,-4404.00,25.57,185.00,174.00,103.00
5334,588.00,15432.00,-4432.00,25.47,210.00,171.00,104.00
5439,536.00,15332.00,-4248.00,25.52,188.00,178.00,103.00
5544,544.00,15408.00,-4404.00,25.57,190.00,206.00,120.00
5649,520.00,15356.00,-4264.00,25.52,171.00,173.00,102.00
5754,556.00,15404.00,-4388.00,25.52,175.00,202.00,80.00
5859,516.00,15324.00,-4516.00,25.47,152.00,166.00,96.00
5964,580.00,15396.00,-4388.00,25.52,192.00,197.00,100.00
6070,500.00,15388.00,-4348.00,25.57,196.00,139.00,104.00
6174,572.00,15384.00,-4356.00,25.52,181.00,185.00,103.00
6280,480.00,15380.00,-4372.00,25.57,216.00,144.00,104.00
6384,504.00,15384.00,-4296.00,25.47,168.00,167.00,77.00
6490,512.00,15392.00,-4428.00,25.57,186.00,175.00,125.00
6595,556.00,15420.00,-4440.00,25.57,172.00,202.00,105.00
6700,492.00,15432.00,-4416.00,25.61,155.00,177.00,94.00
6805,496.00,15356.00,-4352.00,25.47,190.00,202.00,93.00
6909,572.00,15384.00,-4344.00,25.61,186.00,175.00,103.00
7015,560.00,15308.00,-4348.00,25.57,177.00,154.00,79.00
7120,536.00,15412.00,-4384.00,25.61,194.00,186.00,104.00
7225,596.00,15304.00,-4164.00,25.57,192.00,178.00,97.00
7330,428.00,15312.00,-4376.00,25.47,181.00,196.00,117.00
7435,560.00,15456.00,-4400.00,25.57,223.00,173.00,85.00
7540,452.00,15432.00,-4508.00,25.52,172.00,180.00,91.00
7646,500.00,15252.00,-4320.00,25.61,195.00,191.00,103.00
7750,588.00,15352.00,-4248.00,25.52,185.00,196.00,98.00
7856,512.00,15336.00,-4520.00,25.47,150.00,188.00,135.00
7960,452.00,15384.00,-4416.00,25.66,202.00,190.00,124.00
8066,596.00,15368.00,-4576.00,25.47,201.00,202.00,102.00
8171,592.00,15408.00,-4532.00,25.57,226.00,165.00,120.00
8275,516.00,15408.00,-4292.00,25.57,183.00,190.00,105.00
8381,480.00,15300.00,-4316.00,25.57,154.00,176.00,95.00
8485,556.00,15332.00,-4384.00,25.61,168.00,193.00,92.00
8591,576.00,15388.00,-4376.00,25.57,163.00,176.00,125.00
8696,500.00,15460.00,-4364.00,25.57,189.00,200.00,87.00
8801,604.00,15300.00,-4604.00,25.47,154.00,168.00,95.00
8906,652.00,15332.00,-4212.00,25.61,179.00,183.00,109.00
9011,552.00,15348.00,-4392.00,25.57,216.00,183.00,73.00
9116,516.00,15436.00,-4360.00,25.57,193.00,158.00,108.00
9222,596.00,15352.00,-4252.00,25.52,190.00,199.00,98.00
9326,540.00,15344.00,-4396.00,25.57,182.00,190.00,95.00
9432,616.00,15364.00,-4284.00,25.52,145.00,162.00,89.00
9536,520.00,15408.00,-4228.00,25.52,176.00,197.00,99.00
9641,584.00,15376.00,-4276.00,25.47,177.00,186.00,110.00
9746,512.00,15320.00,-4336.00,25.52,168.00,176.00,117.00
9851,492.00,15332.00,-4364.00,25.47,172.00,156.00,102.00
9957,596.00,15324.00,-4228.00,25.57,163.00,177.00,132.00
10061,552.00,15380.00,-4336.00,25.52,175.00,186.00,106.00
10167,564.00,15440.00,-4276.00,25.52,188.00,198.00,107.00
10272,616.00,15312.00,-4240.00,25.52,195.00,183.00,104.00
10377,576.00,15464.00,-4348.00,25.57,171.00,191.00,97.00
10482,580.00,15484.00,-4364.00,25.47,182.00,159.00,91.00
10587,588.00,15360.00,-4396.00,25.52,192.00,182.00,95.00
10692,604.00,15308.00,-4416.00,25.52,176.00,184.00,121.00
