Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ 
10621,0.01,0.99,-0.04,29.19,0.09,0.57,1.04
10726,0.03,1.00,0.11,29.28,2.44,1.27,0.80
10830,0.03,0.99,0.01,29.24,0.16,0.44,1.10
10935,0.03,1.00,0.06,29.24,2.40,1.24,0.82
11039,0.02,1.01,0.09,29.24,0.72,0.69,0.94
11145,0.01,0.99,0.00,29.19,1.62,1.26,0.92
11249,0.02,1.01,0.11,29.28,1.59,1.14,0.88
11354,0.01,0.99,-0.05,29.24,0.71,1.12,0.99
11458,0.02,1.00,0.11,29.33,2.15,1.13,0.92
11563,0.03,0.99,-0.00,29.14,0.21,0.50,0.95
11667,0.03,0.99,0.07,29.19,2.57,1.27,0.74
11771,0.02,1.00,0.06,29.19,0.43,0.30,0.88
11876,0.01,0.99,0.01,29.14,2.22,1.32,0.82
11980,0.01,1.00,0.10,29.24,1.04,0.73,1.06
12085,0.00,1.00,-0.04,29.33,1.27,1.09,0.95
12190,0.01,1.00,0.13,29.19,1.63,1.18,0.86
12295,0.01,0.99,-0.05,29.19,0.15,0.50,1.21
12399,0.03,0.99,0.11,29.28,2.24,1.24,0.63
12504,0.03,0.99,-0.02,29.24,-0.15,0.47,1.05
12608,0.04,1.00,0.07,29.24,2.37,1.27,0.92
12712,0.02,1.00,0.07,29.19,0.63,0.53,1.08
12817,0.01,0.99,0.01,29.28,2.04,1.46,0.92
12921,0.01,1.00,0.11,29.24,1.47,0.95,1.00
13026,0.01,0.99,-0.04,29.24,0.94,0.95,0.98
13131,0.02,1.00,0.12,29.28,2.16,1.13,1.02
13236,0.03,0.99,-0.00,29.28,-0.02,0.62,1.02
13340,0.04,0.99,0.08,29.24,2.21,1.11,0.92
13445,0.03,1.00,0.05,29.24,0.05,0.34,1.05
13549,0.02,1.00,0.01,29.28,2.25,1.29,0.83
13654,0.01,1.00,0.11,29.19,0.95,0.89,0.83
13758,0.00,0.99,-0.04,29.28,1.43,1.27,1.08
13862,0.02,1.01,0.13,29.28,1.64,0.93,0.94
13967,0.02,0.99,-0.03,29.19,0.52,0.76,1.08
14071,0.03,1.00,0.10,29.19,2.21,1.02,1.01
14177,0.03,0.99,0.02,29.38,0.14,0.43,1.08
14281,0.03,1.00,0.05,29.24,2.47,1.38,0.58
14386,0.03,0.99,0.04,29.28,0.31,0.51,0.96
14490,0.02,1.00,0.05,29.28,2.09,1.21,0.84
14595,0.02,1.00,0.09,29.19,1.26,0.99,1.06
14699,0.01,0.99,-0.02,29.24,0.86,0.95,1.13
14803,0.01,1.00,0.11,29.24,1.96,1.15,1.08
14908,0.01,0.98,-0.03,29.24,-0.03,0.64,1.17
15012,0.03,1.01,0.11,29.28,2.49,1.52,1.05
15118,0.03,1.00,0.02,29.19,0.08,0.31,1.15
15222,0.02,1.00,0.05,29.24,2.37,1.37,0.73
15327,0.02,1.00,0.07,29.24,0.60,0.51,0.99
15431,0.00,1.00,-0.01,29.24,1.70,1.50,0.87
15536,0.01,1.00,0.11,29.28,1.47,0.89,1.08
15640,0.01,0.99,-0.04,29.28,0.55,1.05,1.19
15745,0.03,1.00,0.12,29.28,2.11,1.30,0.92
15849,0.03,0.99,-0.01,29.24,0.27,0.44,1.29
15953,0.03,1.00,0.08,29.24,2.18,1.37,0.82
16058,0.03,1.01,0.06,29.28,0.22,0.04,1.11
16163,0.02,1.00,0.01,29.28,1.95,1.43,0.82
16268,0.01,1.00,0.10,29.28,0.93,0.65,1.07
16372,0.00,0.99,-0.05,29.19,0.90,1.13,0.92
16477,0.02,1.00,0.10,29.28,1.74,0.88,0.93
16581,0.03,0.99,-0.03,29.28,0.29,0.79,0.99
16686,0.03,1.00,0.09,29.24,2.36,1.24,1.00
16790,0.04,1.00,0.02,29.24,0.13,0.37,1.05
16894,0.03,1.00,0.06,29.24,2.37,1.28,0.81
16999,0.01,1.01,0.09,29.24,0.51,0.66,0.96
17103,0.02,0.99,-0.01,29.14,1.70,1.34,0.98
17209,0.01,1.00,0.10,29.28,1.41,0.89,0.90
17313,0.00,0.99,-0.04,29.28,0.94,1.46,1.03
17418,0.02,1.00,0.12,29.19,2.02,1.18,0.89
17522,0.01,0.98,-0.03,29.28,0.37,0.60,1.16
17627,0.03,1.00,0.10,29.33,2.41,1.31,0.83
17731,0.03,1.00,0.02,29.24,0.37,0.16,1.21
17836,0.03,1.01,0.06,29.33,2.22,1.33,0.80
17940,0.02,1.00,0.07,29.28,0.82,0.36,0.89
18044,0.02,1.00,0.01,29.24,1.53,1.38,0.74
18150,0.02,0.99,0.11,29.24,1.31,1.10,1.05
18254,0.01,0.99,-0.04,29.24,0.69,0.93,1.08
18359,0.03,1.00,0.11,29.19,2.16,1.63,1.05
18463,0.02,0.99,0.00,29.28,0.55,0.26,1.24
18568,0.03,1.01,0.08,29.19,2.24,1.32,0.67
18672,0.02,1.00,0.07,29.24,0.60,0.21,1.36
18777,0.03,1.00,0.02,29.14,2.10,1.44,0.65
18881,0.01,1.00,0.11,29.28,0.98,0.66,1.18
18985,0.01,0.99,-0.04,29.28,0.92,1.28,0.81
19090,0.02,1.00,0.11,29.33,1.64,1.29,1.18
19195,0.01,0.99,-0.02,29.24,0.20,0.51,1.05
19300,0.02,1.00,0.11,29.19,2.12,1.63,0.75
19404,0.02,1.00,-0.01,29.19,0.43,0.13,1.11
19509,0.03,1.01,0.08,29.19,2.58,1.52,0.82
19613,0.02,1.01,0.06,29.28,0.93,0.37,1.08
19718,0.02,1.00,0.01,29.24,1.67,1.43,0.85
19822,0.02,1.00,0.10,29.33,1.50,1.02,1.13
19927,0.01,0.99,-0.03,29.24,0.53,1.23,0.93
20031,0.02,1.00,0.10,29.19,2.21,1.10,0.85
20136,0.01,0.98,-0.03,29.19,0.23,0.34,0.99
20241,0.03,1.01,0.11,29.28,2.30,1.27,0.84
20345,0.03,1.00,0.01,29.28,0.36,0.03,1.12
20450,0.04,1.00,0.06,29.28,2.02,1.46,0.76
20554,0.02,1.00,0.07,29.28,1.03,0.50,1.05
20659,0.02,1.00,-0.00,29.28,1.32,1.38,0.99
20763,0.02,0.99,0.11,29.28,1.54,1.21,0.98
20868,0.01,0.99,-0.02,29.19,0.63,0.87,0.86
20972,0.02,1.00,0.11,29.19,2.32,1.35,0.85
21078,0.02,0.99,0.00,29.24,0.12,0.01,1.12
21182,0.04,1.00,0.08,29.33,2.27,1.28,0.85
21286,0.02,1.00,0.05,29.28,0.69,0.11,1.15
21391,0.02,1.00,0.02,29.19,1.79,1.52,0.75
21495,0.02,1.00,0.11,29.28,1.34,0.96,1.05
21600,0.01,0.99,-0.03,29.33,0.88,1.21,0.95
21704,0.02,1.00,0.11,29.24,2.04,1.28,0.85
21809,0.02,0.99,-0.01,29.28,0.23,0.58,1.15
21913,0.04,1.01,0.08,29.28,2.36,1.47,0.74
22018,0.03,1.00,0.06,29.33,0.36,0.13,1.14
22123,0.02,1.00,0.02,29.33,2.10,1.56,0.66
22227,0.02,1.00,0.09,29.38,0.76,0.45,1.11
22332,0.01,0.99,-0.04,29.28,1.40,1.49,0.89
22436,0.03,1.00,0.10,29.24,1.79,1.24,0.88
22541,0.00,0.99,-0.04,29.19,0.59,1.05,0.98
22645,0.02,1.01,0.12,29.19,2.40,1.18,0.82
22750,0.03,0.99,-0.01,29.28,0.22,0.47,1.01
22854,0.03,1.00,0.07,29.42,2.24,1.20,0.87
22959,0.02,1.00,0.07,29.24,0.59,0.72,1.11
23064,0.02,0.99,0.00,29.19,1.56,1.37,0.89
23169,0.01,1.00,0.10,29.28,1.38,0.98,0.96
23273,0.01,0.99,-0.05,29.33,0.69,0.83,1.11
23377,0.03,1.00,0.10,29.28,2.21,0.98,1.04
23482,0.04,0.99,-0.02,29.28,0.26,0.73,1.18
23586,0.04,1.00,0.08,29.24,2.42,1.11,0.99
23691,0.02,1.00,0.06,29.19,0.30,0.40,1.02
23795,0.02,0.99,0.03,29.28,2.44,1.20,0.84
23900,0.01,1.00,0.10,29.24,0.92,0.84,1.10
24004,0.00,0.99,-0.03,29.28,1.44,1.24,1.11
24110,0.02,1.00,0.11,29.38,1.70,1.18,1.06
24214,0.02,0.99,-0.03,29.19,0.38,0.63,1.05
24318,0.03,1.00,0.09,29.28,2.31,1.03,0.88
24423,0.04,1.00,0.03,29.28,-0.02,0.41,1.14
24527,0.03,0.99,0.06,29.19,2.38,1.13,0.66
24632,0.01,1.01,0.08,29.19,0.47,0.64,0.96
24736,0.01,0.99,0.01,29.28,2.03,1.47,1.10
24841,0.01,1.00,0.10,29.33,1.38,0.92,1.13
24945,0.01,0.99,-0.04,29.28,1.16,1.16,0.95
25051,0.03,1.00,0.13,29.28,2.03,1.16,0.85
25155,0.03,1.00,-0.01,29.33,0.18,0.54,1.05
25260,0.03,1.00,0.11,29.28,2.28,1.05,0.69
25364,0.04,1.00,0.00,29.28,0.15,0.56,0.97
25468,0.03,1.00,0.08,29.28,2.51,1.18,0.79
25573,0.02,1.01,0.07,29.33,0.73,0.80,0.93
25677,0.01,0.99,0.02,29.33,1.45,1.30,0.89
25782,0.01,1.00,0.11,29.24,1.59,1.12,0.96
25886,0.01,0.99,-0.05,29.19,0.50,0.94,1.08
25991,0.03,1.00,0.12,29.19,2.21,1.07,0.96
26096,0.04,0.99,-0.01,29.24,0.11,0.44,1.10
26201,0.03,1.00,0.07,29.33,2.26,1.07,0.95
26305,0.02,1.00,0.06,29.28,0.42,0.61,0.86
26409,0.01,0.99,0.04,29.14,2.27,1.30,0.68
26514,0.01,1.01,0.11,29.33,1.05,0.90,0.96
26618,0.00,0.99,-0.04,29.24,1.25,1.30,1.08
26723,0.02,1.00,0.11,29.24,1.69,0.95,1.11
26827,0.03,0.99,-0.03,29.28,0.22,0.73,1.05
26932,0.04,1.00,0.11,29.19,2.26,1.21,1.02
27036,0.03,1.00,0.02,29.28,0.04,0.36,0.92
27142,0.03,0.99,0.06,29.24,2.24,1.25,0.77
